time	count
0.00	0.00
5056866.37	0.25
5057036.97	0.00
5057447.27	0.25
5057451.77	0.00
5058659.90	0.25
5058732.60	0.50
5058845.52	0.25
5060415.55	0.00
5060455.43	0.25
5060470.22	0.00
5060544.30	0.25
5060548.38	0.00
5060933.32	0.25
5060940.81	0.00
5061989.88	0.25
5061993.09	0.00
5062111.82	0.25
5062114.47	0.00
5062200.46	0.25
5062203.16	0.00
5062286.45	0.25
5062289.38	0.00
5062378.61	0.25
5062381.31	0.00
5175702.21	0.25
5176058.99	0.00
5176161.19	0.25
5176180.38	0.00
5176338.87	0.25
5176352.68	0.00
5176431.40	0.25
5176434.63	0.00
5176515.09	0.25
5176517.94	0.00
5176598.14	0.25
5176626.11	0.00
5176687.78	0.25
5176690.65	0.00
5176771.67	0.25
5176774.33	0.00
5176852.74	0.25
5176860.80	0.00
5176933.83	0.25
5176936.17	0.00
5177012.62	0.25
5177014.71	0.00
5177091.44	0.25
5177093.79	0.00
5177171.29	0.25
5177173.34	0.00
5177250.34	0.25
5177256.61	0.00
5177329.12	0.25
5177331.63	0.00
5177408.38	0.25
5177410.49	0.00
5177488.69	0.25
5177490.79	0.00
5177568.58	0.25
5177570.87	0.00
5177654.21	0.25
5177656.38	0.00
5177737.75	0.25
5177745.88	0.00
5177817.36	0.25
5177819.84	0.00
5177896.67	0.25
5177898.77	0.00
5177975.90	0.25
5177977.94	0.00
5178054.80	0.25
5178057.07	0.00
5178132.92	0.25
5178139.36	0.00
5178212.30	0.25
5178214.48	0.00
5178293.36	0.25
5178296.64	0.00
5178371.76	0.25
5178373.82	0.00
5178451.42	0.25
5178453.50	0.00
5178535.06	0.25
5178541.57	0.00
5178614.83	0.25
5178617.01	0.00
5178701.73	0.25
5178703.78	0.00
5178782.71	0.25
5178785.00	0.00
5178862.95	0.25
5178865.02	0.00
5178943.73	0.25
5178945.77	0.00
5179023.32	0.25
5179029.53	0.00
5179104.52	0.25
5179106.73	0.00
5179184.26	0.25
5179186.28	0.00
5179264.16	0.25
5179266.52	0.00
5179343.39	0.25
5179345.49	0.00
5179422.31	0.25
5179428.26	0.00
5179502.61	0.25
5179505.03	0.00
5179605.21	0.25
5179607.29	0.00
5179695.84	0.25
5179697.88	0.00
5179778.49	0.25
5179781.01	0.00
5179858.72	0.25
5179864.68	0.00
5179938.72	0.25
5179940.96	0.00
5180017.92	0.25
5180020.29	0.00
5180097.41	0.25
5180099.51	0.00
5180176.99	0.25
5180179.05	0.00
5180255.30	0.25
5180257.62	0.00
5180333.87	0.25
5180339.64	0.00
5180412.67	0.25
5180414.87	0.00
5180492.07	0.25
5180494.44	0.00
5180572.58	0.25
5180574.63	0.00
5180653.28	0.25
5180655.39	0.00
5180738.63	0.25
5180745.00	0.00
5180819.10	0.25
5180821.31	0.00
5180898.21	0.25
5180900.29	0.00
5180977.09	0.25
5180979.40	0.00
5181055.95	0.25
5181058.05	0.00
5181134.29	0.25
5181136.37	0.00
5181212.23	0.25
5181218.57	0.00
5181290.44	0.25
5181292.64	0.00
5181376.61	0.25
5181378.71	0.00
5181457.24	0.25
5181459.58	0.00
5181535.72	0.25
5181537.82	0.00
5181613.95	0.25
5181620.16	0.00
5181702.27	0.25
5181705.57	0.00
5181783.65	0.25
5181785.87	0.00
5181862.07	0.25
5181864.17	0.00
5181941.02	0.25
5181947.50	0.00
5182021.04	0.25
5182023.22	0.00
5182100.79	0.25
5182102.89	0.00
5182179.83	0.25
5182182.23	0.00
5182259.21	0.25
5182261.29	0.00
5182338.91	0.25
5182340.96	0.00
5182418.17	0.25
5182424.50	0.00
5182500.06	0.25
5182502.32	0.00
5182580.04	0.25
5182582.08	0.00
5182663.24	0.25
5182665.58	0.00
5182744.85	0.25
5182746.90	0.00
5182824.14	0.25
5182826.24	0.00
5182903.44	0.25
5182909.62	0.00
5182984.21	0.25
5182986.37	0.00
5183062.81	0.25
5183064.88	0.00
5183143.55	0.25
5183145.88	0.00
5183222.17	0.25
5183227.92	0.00
5183301.49	0.25
5183303.67	0.00
5183380.05	0.25
5183382.41	0.00
5183460.95	0.25
5183463.01	0.00
5183540.14	0.25
5183542.19	0.00
5183618.69	0.25
5183621.02	0.00
5183705.20	0.25
5183712.69	0.00
5183784.43	0.25
5183786.66	0.00
5183862.99	0.25
5183865.33	0.00
5183940.91	0.25
5183942.94	0.00
5184020.45	0.25
5184022.53	0.00
5184099.15	0.25
5184105.46	0.00
5184177.52	0.25
5184179.72	0.00
5184255.71	0.25
5184258.03	0.00
5184334.47	0.25
5184336.79	0.00
5184413.89	0.25
5184415.97	0.00
5184499.44	0.25
5184501.50	0.00
5184580.44	0.25
5184586.77	0.00
5184665.72	0.25
5184667.90	0.00
5184749.04	0.25
5184751.11	0.00
5184837.58	0.25
5184839.88	0.00
5184915.58	0.25
5184917.63	0.00
5184993.84	0.25
5185000.40	0.00
5185072.25	0.25
5185074.68	0.00
5185152.28	0.25
5185154.38	0.00
5185231.28	0.25
5185233.39	0.00
5185309.88	0.25
5185312.17	0.00
5185388.77	0.25
5185390.82	0.00
5185468.08	0.25
5185477.46	0.00
5185547.68	0.25
5185550.11	0.00
5185626.10	0.25
5185628.23	0.00
5185714.38	0.25
5185716.46	0.00
5185795.14	0.25
5185801.27	0.00
5185875.27	0.25
5185877.47	0.00
5185955.24	0.25
5185957.32	0.00
5186033.05	0.25
5186035.37	0.00
5186111.19	0.25
5186113.25	0.00
5186189.52	0.25
5186191.55	0.00
5186268.76	0.25
5186274.83	0.00
5186351.12	0.25
5186353.33	0.00
5186429.90	0.25
5186431.95	0.00
5186509.94	0.25
5186512.21	0.00
5186589.97	0.25
5186592.05	0.00
5186675.05	0.25
5186677.15	0.00
5186757.46	0.25
5186763.57	0.00
5186837.44	0.25
5186839.64	0.00
5186916.01	0.25
5186918.08	0.00
5186995.47	0.25
5186997.78	0.00
5187074.00	0.25
5187076.12	0.00
5187152.50	0.25
5187158.59	0.00
5187240.70	0.25
5187243.16	0.00
5187321.33	0.25
5187323.44	0.00
