time	count
0.00	0.00
5056186.54	1.00
5056802.75	0.00
5056882.91	1.00
5057418.66	0.00
5057482.65	1.00
5058682.97	0.00
5060118.58	1.00
5060421.20	0.00
5060469.31	1.00
5060512.29	0.00
5060553.26	1.00
5060899.95	0.00
5060949.88	1.00
5061962.86	0.00
5062009.45	1.00
5062087.33	0.00
5062125.30	1.00
5062177.91	0.00
5062214.27	1.00
5062264.59	0.00
5062301.82	1.00
5062356.02	0.00
5062391.20	1.00
5175554.22	0.00
5175603.14	1.00
5176112.28	0.00
5176173.23	1.00
5176309.01	0.00
5176352.96	1.00
5176405.22	0.00
5176444.65	1.00
5176490.67	0.00
5176529.34	1.00
5176573.21	0.00
5176610.74	1.00
5176662.16	0.00
5176701.38	1.00
5176747.27	0.00
5176785.29	1.00
5176828.79	0.00
5176866.82	1.00
5176910.95	0.00
5176947.82	1.00
5176990.20	0.00
5177026.56	1.00
5177068.83	0.00
5177106.20	1.00
5177148.41	0.00
5177185.50	1.00
5177227.86	0.00
5177264.32	1.00
5177306.28	0.00
5177343.53	1.00
5177385.76	0.00
5177423.69	1.00
5177465.53	0.00
5177503.30	1.00
5177545.40	0.00
5177582.71	1.00
5177625.51	0.00
5177669.44	1.00
5177714.08	0.00
5177752.03	1.00
5177794.54	0.00
5177832.03	1.00
5177874.06	0.00
5177911.31	1.00
5177953.16	0.00
5177989.71	1.00
5178031.86	0.00
5178068.41	1.00
5178110.49	0.00
5178147.21	1.00
5178189.44	0.00
5178227.16	1.00
5178270.76	0.00
5178307.13	1.00
5178349.09	0.00
5178386.26	1.00
5178428.92	0.00
5178469.62	1.00
5178511.70	0.00
5178549.12	1.00
5178592.31	0.00
5178629.27	1.00
5178678.35	0.00
5178716.02	1.00
5178759.83	0.00
5178797.42	1.00
5178839.95	0.00
5178877.43	1.00
5178920.73	0.00
5178958.07	1.00
5179000.08	0.00
5179039.34	1.00
5179081.50	0.00
5179118.97	1.00
5179160.91	0.00
5179198.59	1.00
5179240.59	0.00
5179278.54	1.00
5179320.12	0.00
5179357.49	1.00
5179399.59	0.00
5179437.53	1.00
5179479.88	0.00
5179516.82	1.00
5179581.08	0.00
5179620.95	1.00
5179671.65	0.00
5179711.10	1.00
5179754.92	0.00
5179792.81	1.00
5179835.50	0.00
5179872.88	1.00
5179915.62	0.00
5179952.91	1.00
5179994.87	0.00
5180032.11	1.00
5180074.15	0.00
5180111.66	1.00
5180153.65	0.00
5180191.16	1.00
5180232.82	0.00
5180269.07	1.00
5180310.90	0.00
5180348.48	1.00
5180389.94	0.00
5180427.30	1.00
5180469.12	0.00
5180506.77	1.00
5180549.64	0.00
5180587.02	1.00
5180628.94	0.00
5180671.96	1.00
5180715.67	0.00
5180754.13	1.00
5180796.35	0.00
5180833.63	1.00
5180875.38	0.00
5180912.35	1.00
5180953.92	0.00
5180991.42	1.00
5181033.39	0.00
5181070.16	1.00
5181111.65	0.00
5181148.34	1.00
5181189.82	0.00
5181226.34	1.00
5181267.78	0.00
5181304.29	1.00
5181345.82	0.00
5181392.41	1.00
5181434.29	0.00
5181471.11	1.00
5181513.07	0.00
5181549.87	1.00
5181591.45	0.00
5181629.77	1.00
5181678.98	0.00
5181717.82	1.00
5181760.79	0.00
5181797.50	1.00
5181839.54	0.00
5181876.10	1.00
5181918.15	0.00
5181955.71	1.00
5181998.24	0.00
5182035.87	1.00
5182077.94	0.00
5182115.14	1.00
5182157.04	0.00
5182194.28	1.00
5182236.47	0.00
5182273.89	1.00
5182315.95	0.00
5182353.22	1.00
5182395.27	0.00
5182434.56	1.00
5182476.70	0.00
5182514.77	1.00
5182557.13	0.00
5182593.76	1.00
5182635.28	0.00
5182678.49	1.00
5182722.12	0.00
5182759.08	1.00
5182801.25	0.00
5182837.87	1.00
5182880.85	0.00
5182918.67	1.00
5182961.58	0.00
5182998.27	1.00
5183040.29	0.00
5183078.17	1.00
5183120.67	0.00
5183157.39	1.00
5183199.68	0.00
5183236.71	1.00
5183278.64	0.00
5183315.76	1.00
5183357.67	0.00
5183395.02	1.00
5183438.12	0.00
5183474.90	1.00
5183517.34	0.00
5183553.98	1.00
5183596.08	0.00
5183632.43	1.00
5183681.78	0.00
5183719.03	1.00
5183761.69	0.00
5183798.44	1.00
5183840.32	0.00
5183876.71	1.00
5183918.20	0.00
5183955.38	1.00
5183997.70	0.00
5184034.34	1.00
5184076.37	0.00
5184112.72	1.00
5184154.63	0.00
5184191.30	1.00
5184232.87	0.00
5184269.58	1.00
5184311.52	0.00
5184348.29	1.00
5184390.87	0.00
5184427.64	1.00
5184469.78	0.00
5184515.39	1.00
5184557.51	0.00
5184593.99	1.00
5184635.94	0.00
5184680.81	1.00
5184726.21	0.00
5184771.85	1.00
5184814.51	0.00
5184851.40	1.00
5184892.98	0.00
5184929.58	1.00
5184971.10	0.00
5185007.48	1.00
5185049.13	0.00
5185087.15	1.00
5185129.45	0.00
5185166.55	1.00
5185208.22	0.00
5185245.76	1.00
5185287.22	0.00
5185323.86	1.00
5185366.11	0.00
5185403.33	1.00
5185445.09	0.00
5185482.67	1.00
5185524.81	0.00
5185561.71	1.00
5185603.18	0.00
5185640.48	1.00
5185690.66	0.00
5185728.89	1.00
5185772.41	0.00
5185808.76	1.00
5185850.95	0.00
5185890.06	1.00
5185932.29	0.00
5185968.76	1.00
5186010.54	0.00
5186046.84	1.00
5186088.55	0.00
5186125.18	1.00
5186166.74	0.00
5186203.62	1.00
5186245.96	0.00
5186282.68	1.00
5186327.95	0.00
5186364.79	1.00
5186407.26	0.00
5186444.61	1.00
5186486.77	0.00
5186524.18	1.00
5186566.96	0.00
5186603.67	1.00
5186646.10	0.00
5186689.70	1.00
5186734.01	0.00
5186771.48	1.00
5186814.51	0.00
5186851.26	1.00
5186893.43	0.00
5186930.48	1.00
5186972.95	0.00
5187009.56	1.00
5187051.35	0.00
5187087.93	1.00
5187129.91	0.00
5187167.83	1.00
5187209.55	0.00
5187256.06	1.00
5187298.36	0.00
5187335.33	1.00
5187377.10	0.00
5187414.23	1.00
5187456.17	0.00
5187492.90	1.00
5187536.09	0.00
5187573.47	1.00
5187615.63	0.00
5187658.48	1.00
5187723.48	0.00
5187788.20	1.00
5187839.72	0.00
5187878.83	1.00
5187923.88	0.00
5187961.77	1.00
5188005.83	0.00
5188047.06	1.00
5188089.73	0.00
5188126.95	1.00
5188170.06	0.00
5188207.30	1.00
5188249.20	0.00
5188286.24	1.00
5188329.57	0.00
5188367.34	1.00
5188409.77	0.00
5188447.01	1.00
5188488.57	0.00
5188526.59	1.00
5188568.22	0.00
5188606.01	1.00
5188653.80	0.00
5188693.07	1.00
5188736.92	0.00
5188775.11	1.00
5188818.21	0.00
5188856.27	1.00
5188899.36	0.00
5188940.04	1.00
5188982.47	0.00
5189019.13	1.00
5189061.79	0.00
5189101.89	1.00
5189145.34	0.00
5189181.92	1.00
5189224.00	0.00
5189260.72	1.00
5189303.45	0.00
5189340.53	1.00
5189382.65	0.00
5189420.05	1.00
5189461.99	0.00
5189498.55	1.00
5189540.95	0.00
5189590.80	1.00
5189633.20	0.00
5189685.74	1.00
5189730.49	0.00
5189769.00	1.00
5189812.11	0.00
5189850.19	1.00
5189893.07	0.00
5189930.88	1.00
5189973.66	0.00
5190011.59	1.00
5190053.85	0.00
5190091.74	1.00
5190133.44	0.00
5190170.83	1.00
5190213.10	0.00
5190249.69	1.00
5190292.42	0.00
5190329.64	1.00
5190371.41	0.00
5190408.79	1.00
5190450.74	0.00
5190488.79	1.00
5190531.07	0.00
5190568.00	1.00
5190610.01	0.00
5190653.24	1.00
5190697.95	0.00
5190735.71	1.00
5190778.61	0.00
5190815.74	1.00
5190858.51	0.00
5190894.97	1.00
5190937.09	0.00
5190973.86	1.00
5191016.39	0.00
5191054.40	1.00
5191096.63	0.00
5191134.11	1.00
5191176.39	0.00
5191213.54	1.00
5191256.22	0.00
5191293.96	1.00
5191336.06	0.00
5191373.47	1.00
5191415.12	0.00
5191453.26	1.00
5191495.15	0.00
5191532.64	1.00
5191574.50	0.00
5191610.96	1.00
5191658.46	0.00
5191696.46	1.00
5191739.91	0.00
5191788.00	1.00
5191830.66	0.00
5191867.19	1.00
5191908.95	0.00
5191945.63	1.00
5191987.66	0.00
5192024.57	1.00
5192066.24	0.00
5192103.66	1.00
5192145.21	0.00
5192182.60	1.00
5192224.31	0.00
5192262.24	1.00
5192304.01	0.00
5192342.66	1.00
5192385.03	0.00
5192422.67	1.00
5192464.30	0.00
5192501.42	1.00
5192542.80	0.00
5192580.55	1.00
5192622.11	0.00
5192663.97	1.00
5192708.23	0.00
5192744.92	1.00
5192787.24	0.00
5192823.62	1.00
5192866.19	0.00
5192902.62	1.00
5192945.00	0.00
5192981.33	1.00
5193023.24	0.00
5193059.69	1.00
5193102.27	0.00
5193147.58	1.00
5193190.75	0.00
5193227.72	1.00
5193269.96	0.00
5193306.32	1.00
5193348.76	0.00
5193385.66	1.00
5193427.48	0.00
5193464.37	1.00
5193506.06	0.00
5193543.33	1.00
5193584.79	0.00
5193622.37	1.00
5193670.52	0.00
5193709.48	1.00
5193752.86	0.00
5193790.53	1.00
5193833.41	0.00
5193870.44	1.00
5193912.68	0.00
5193949.58	1.00
5193992.34	0.00
5194029.37	1.00
5194072.19	0.00
5194108.88	1.00
5194152.52	0.00
5194189.27	1.00
5194231.36	0.00
5194269.10	1.00
5194310.97	0.00
5194347.60	1.00
5194389.08	0.00
5194425.61	1.00
5194467.96	0.00
5194506.50	1.00
5194548.91	0.00
5194586.13	1.00
5194628.46	0.00
5194671.49	1.00
5194715.17	0.00
5194753.03	1.00
5194795.62	0.00
5194833.62	1.00
5194875.78	0.00
5194913.66	1.00
5194955.97	0.00
5194993.62	1.00
5195035.87	0.00
5195073.00	1.00
5195116.35	0.00
5195152.86	1.00
5195195.35	0.00
5195231.80	1.00
5195273.79	0.00
5195310.68	1.00
5195352.34	0.00
5195388.84	1.00
5195431.04	0.00
5195467.81	1.00
5195510.07	0.00
5195556.08	1.00
5195597.80	0.00
5195635.33	1.00
5195683.52	0.00
5195721.43	1.00
5195763.71	0.00
5195800.34	1.00
5195842.43	0.00
5195879.62	1.00
5195921.65	0.00
5195958.30	1.00
5196000.01	0.00
5196048.26	1.00
5196090.85	0.00
5196136.92	1.00
5196178.97	0.00
5196215.51	1.00
5196257.74	0.00
5196294.26	1.00
5196336.95	0.00
5196373.90	1.00
5196415.73	0.00
5196452.91	1.00
5196495.03	0.00
5196532.27	1.00
5196574.65	0.00
5196612.87	1.00
5196660.14	0.00
5196699.16	1.00
5196743.18	0.00
5196781.38	1.00
5196823.70	0.00
5196861.90	1.00
5196903.80	0.00
5196942.47	1.00
5196984.91	0.00
5197021.79	1.00
5197064.57	0.00
5197101.89	1.00
5197143.41	0.00
5197180.44	1.00
5197222.75	0.00
5197260.50	1.00
5197302.57	0.00
5197339.45	1.00
5197381.29	0.00
5197417.73	1.00
5197459.38	0.00
5197496.34	1.00
5197538.77	0.00
5197576.28	1.00
5197618.51	0.00
5197661.43	1.00
