time	count
0.00	0.00
5063629.78	0.25
5063903.43	0.00
5064347.27	0.25
5064507.35	0.00
5065871.21	0.25
5065922.71	0.50
5065932.82	0.25
5066994.84	0.50
5067003.81	0.25
5067098.74	0.50
5067118.80	0.25
5067165.56	0.00
5067224.97	0.25
5067231.07	0.00
5067972.03	0.25
5067976.69	0.00
5068062.52	0.25
5068073.79	0.00
5068181.10	0.25
5068185.44	0.00
5068255.26	0.25
5068258.40	0.00
5068356.91	0.25
5068360.92	0.00
5068438.51	0.25
5068442.06	0.00
5068548.63	0.25
5068551.71	0.00
5069252.54	0.25
5069302.63	0.50
5069337.42	0.25
5069559.06	0.50
5069573.16	0.25
5069590.75	0.50
5069609.28	0.75
5069664.62	1.00
5069672.05	0.75
5069674.52	0.50
5069689.62	0.25
5069740.58	0.50
5069746.05	0.25
5069755.99	0.00
5069804.36	0.25
5069811.21	0.00
5070919.58	0.25
5070922.44	0.00
5071150.92	0.25
5071185.68	0.50
5071190.61	0.25
5071267.24	0.00
5071301.36	0.25
5071305.32	0.00
5071387.97	0.25
5071422.92	0.50
5071426.25	0.25
5071548.47	0.00
5071566.43	0.25
5071569.66	0.00
5071576.41	0.25
5071580.90	0.00
5071836.15	0.25
5071869.73	0.50
5071873.23	0.25
5071876.68	0.00
5071901.77	0.25
5071904.61	0.00
5072032.47	0.25
5072040.08	0.00
5072115.67	0.25
5072128.06	0.00
5072233.86	0.25
5072237.57	0.00
5072358.78	0.25
5072364.74	0.00
5072577.08	0.25
5072608.85	0.50
5072611.49	0.25
5072649.62	0.00
5072682.29	0.25
5072692.41	0.00
5072698.98	0.25
5072703.96	0.00
5072818.87	0.25
5072822.91	0.00
5072941.04	0.25
5072944.80	0.00
5073157.12	0.25
5073190.45	0.50
5073193.23	0.25
5073221.10	0.00
5073248.79	0.25
5073256.77	0.00
5073281.70	0.25
5073293.23	0.00
5073400.03	0.25
5073429.47	0.00
5073518.34	0.25
5073522.45	0.00
5073745.69	0.25
5073776.62	0.50
5073779.17	0.25
5073818.96	0.00
5073845.83	0.25
5073848.62	0.00
5073853.45	0.25
5073857.01	0.00
5073971.71	0.25
5073977.53	0.00
5074091.39	0.25
5074099.34	0.00
5074341.42	0.25
5074355.79	0.50
5074358.42	0.25
5074413.31	0.00
5074441.06	0.25
5074443.53	0.00
5074581.14	0.25
5074669.59	0.50
5074676.51	0.25
5074927.40	0.00
5075082.67	0.25
5075095.25	0.00
5075548.87	0.25
5075551.54	0.00
5075703.06	0.25
5075705.63	0.00
