time	count
0.00	0.00
5062482.20	1.00
5063470.47	0.00
5063568.11	1.00
5064291.97	0.00
5064381.35	1.00
5065877.36	0.00
5066632.10	1.00
5066956.25	0.00
5067002.99	1.00
5067055.84	0.00
5067098.61	1.00
5067193.10	0.00
5067234.52	1.00
5067935.88	0.00
5067982.71	1.00
5068031.86	0.00
5068069.47	1.00
5068147.84	0.00
5068188.11	1.00
5068225.39	0.00
5068261.38	1.00
5068327.58	0.00
5068366.82	1.00
5068411.23	0.00
5068448.36	1.00
5068516.03	0.00
5068558.65	1.00
5069254.92	0.00
5069301.26	1.00
5069551.43	0.00
5069592.38	1.00
5069637.17	0.00
5069674.99	1.00
5069757.56	0.00
5069815.49	1.00
5070873.56	0.00
5070930.63	1.00
5071150.78	0.00
5071192.67	1.00
5071390.02	0.00
5071431.16	1.00
5071535.41	0.00
5071581.13	1.00
5071839.70	0.00
5071883.69	1.00
5071997.78	0.00
5072040.31	1.00
5072088.10	0.00
5072126.36	1.00
5072204.60	0.00
5072247.93	1.00
5072321.70	0.00
5072366.89	1.00
5072580.86	0.00
5072622.02	1.00
5072675.13	0.00
5072714.09	1.00
5072789.92	0.00
5072832.06	1.00
5072908.46	0.00
5072950.15	1.00
5073161.89	0.00
5073203.17	1.00
5073250.21	0.00
5073291.56	1.00
5073369.16	0.00
5073408.94	1.00
5073483.99	0.00
5073526.71	1.00
5073747.27	0.00
5073789.07	1.00
5073833.92	0.00
5073868.85	1.00
5073942.52	0.00
5073981.51	1.00
5074057.55	0.00
5074099.66	1.00
5074319.04	0.00
5074470.74	1.00
5074625.90	0.00
5074961.64	1.00
5074989.04	0.00
5075001.60	1.00
5075048.67	0.00
5075087.51	1.00
5075507.70	0.00
5075563.75	1.00
5075671.77	0.00
