time	count
0.00	0.00
26699.51	0.25
26732.62	0.00
26794.87	0.25
26795.53	0.00
27162.84	0.25
27180.35	0.50
27228.33	0.25
27372.25	0.00
27425.92	0.25
27432.18	0.00
27447.48	0.25
27448.11	0.00
27468.42	0.25
27469.18	0.00
27490.88	0.25
27491.68	0.00
27512.23	0.25
27517.93	0.00
27530.97	0.25
27531.35	0.00
27550.22	0.25
27550.90	0.00
27635.12	0.25
27635.80	0.00
27651.03	0.25
27651.95	0.00
27671.00	0.25
27671.53	0.00
27729.08	0.25
27738.49	0.50
27739.34	0.25
27760.45	0.50
27778.14	0.75
27785.46	1.00
27805.96	0.75
27816.53	0.50
27828.56	0.75
27829.03	1.00
27829.66	0.75
27852.37	0.50
27857.05	0.75
27856.94	0.50
27857.41	0.25
27858.86	0.50
27860.66	0.75
27865.64	0.50
27867.10	0.25
27871.00	0.00
27881.53	0.25
27881.94	0.50
27881.87	0.25
27883.49	0.50
27883.85	0.25
27924.43	0.00
27935.79	0.25
27937.68	0.00
28057.52	0.25
28071.99	0.00
28095.83	0.25
28096.73	0.00
28122.25	0.25
28131.56	0.50
28137.24	0.25
28144.32	0.00
28145.27	0.25
28145.97	0.00
28158.73	0.25
28159.15	0.00
28175.23	0.25
28176.36	0.00
28197.54	0.25
28198.18	0.00
28221.11	0.25
28230.04	0.50
28229.84	0.25
28230.57	0.00
28234.40	0.25
28241.42	0.00
28253.79	0.25
28254.79	0.00
28272.30	0.25
28272.71	0.00
28294.17	0.25
28301.83	0.00
28318.44	0.25
28323.37	0.50
28324.11	0.25
28327.20	0.00
28333.50	0.25
28334.71	0.00
28351.44	0.25
28352.38	0.00
28368.27	0.25
28368.82	0.00
28390.79	0.25
28391.39	0.00
28413.40	0.25
28421.91	0.00
28423.12	0.25
28423.65	0.00
28426.97	0.25
28427.68	0.00
28446.44	0.25
28447.18	0.00
28463.14	0.25
28463.60	0.00
28487.49	0.25
28494.25	0.00
28508.25	0.25
28517.37	0.00
28521.01	0.25
28521.46	0.00
28524.35	0.25
28525.33	0.00
28602.89	0.25
28621.78	0.50
28628.35	0.25
28698.76	0.00
28748.11	0.25
28749.97	0.00
28826.21	0.25
28827.16	0.00
28857.23	0.25
28860.49	0.00
