time	count
0.00	0.00
26424.08	1.00
26657.81	0.00
26690.77	1.00
26785.46	0.00
26802.15	1.00
27167.60	0.00
27277.11	1.00
27416.10	0.00
27430.36	1.00
27439.06	0.00
27454.08	1.00
27460.04	0.00
27474.25	1.00
27481.59	0.00
27495.00	1.00
27499.12	0.00
27515.68	1.00
27518.29	0.00
27536.63	1.00
27541.01	0.00
27555.15	1.00
27623.06	0.00
27639.10	1.00
27642.94	0.00
27657.76	1.00
27662.15	0.00
27675.09	1.00
27729.83	0.00
27742.56	1.00
27760.61	0.00
27772.32	1.00
27775.36	0.00
27780.70	1.00
27784.52	0.00
27787.53	1.00
27813.90	0.00
27817.49	1.00
27877.06	0.00
27886.92	1.00
28047.48	0.00
28078.44	1.00
28085.70	0.00
28101.68	1.00
28124.14	0.00
28133.96	1.00
28136.91	0.00
28155.50	1.00
28164.06	0.00
28180.40	1.00
28188.60	0.00
28202.87	1.00
28222.10	0.00
28235.81	1.00
28241.69	0.00
28258.52	1.00
28263.11	0.00
28277.39	1.00
28285.56	0.00
28297.99	1.00
28320.50	0.00
28331.58	1.00
28343.14	0.00
28356.05	1.00
28360.26	0.00
28374.60	1.00
28382.21	0.00
28396.08	1.00
28415.11	0.00
28433.38	1.00
28437.89	0.00
28450.99	1.00
28454.39	0.00
28467.47	1.00
28474.76	0.00
28490.39	1.00
28510.62	0.00
28556.18	1.00
28610.40	0.00
28710.05	1.00
28718.11	0.00
28722.08	1.00
28737.94	0.00
28750.64	1.00
28816.22	0.00
28830.32	1.00
28848.18	0.00
