level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	2	26699.51	26699.51	26732.617	#FFC0CB	1.0	ProfTask <1>						44
2	2	26794.872	26794.872	26795.528	#FFC0CB	1.0	ProfTask						46
2	2	27162.839	27162.839	27372.253	#00ff75	1.0	main [primary] <1>						105
2	2	27372.253	27372.253	28583.622	#00ff75	0.15	main [primary] <1> (waiting)						105
2	2	28583.622	28583.622	28602.89	#00ff75	0.45	main [primary] <1> (ready)						105
2	2	28602.89	28602.89	28698.756	#00ff75	1.0	main [primary] <1>						105
1	1	27425.924	27425.924	27432.179	#FFC0CB	1.0	ProfTask <3>						48
1	1	27447.48	27447.48	27448.111	#FFC0CB	1.0	ProfTask <3>						50
1	1	27468.419	27468.419	27469.18	#FFC0CB	1.0	ProfTask						52
1	1	27490.884	27490.884	27491.683	#FFC0CB	1.0	ProfTask <4>						54
1	1	27512.233	27512.233	27517.933	#FFC0CB	1.0	ProfTask						56
1	1	27530.965	27530.965	27531.355	#FFC0CB	1.0	ProfTask <5>						58
1	1	27550.223	27550.223	27550.897	#FFC0CB	1.0	ProfTask						60
1	1	27635.121	27635.121	27635.797	#FFC0CB	1.0	ProfTask <6>						62
1	1	27651.035	27651.035	27651.954	#FFC0CB	1.0	ProfTask <6>						64
1	1	27670.999	27670.999	27671.532	#FFC0CB	1.0	ProfTask						66
1	1	27720.703	27729.083	27805.957	#ff001d	1.0	hit [primary] <3>						139
1	1	27829.034	27829.034	27829.662	#FFC0CB	1.0	ProfTask						68
1	1	27857.051	27857.051	27857.41	#FFC0CB	1.0	ProfTask <5>						70
1	1	27860.659	27860.659	27865.636	#FFC0CB	1.0	ProfTask <4>						72
1	1	27866.606	27881.937	27924.428	#ff001d	1.0	hit [primary] <6>						109
1	1	28057.516	28057.516	28071.985	#FFC0CB	1.0	ProfTask <3>						74
1	1	28095.834	28095.834	28096.726	#FFC0CB	1.0	ProfTask <6>						76
1	1	28114.402	28122.253	28144.318	#eb00ff	1.0	__binary_int64_int64_+ [primary] <7>						110
1	1	28175.228	28175.228	28176.359	#FFC0CB	1.0	ProfTask						78
1	1	28197.544	28197.544	28198.18	#FFC0CB	1.0	ProfTask <7>						80
1	1	28213.248	28221.108	28229.84	#eb00ff	1.0	__binary_int64_int64_+ [primary] <8>						141
1	1	28253.793	28253.793	28254.794	#FFC0CB	1.0	ProfTask <9>						82
1	1	28272.302	28272.302	28272.706	#FFC0CB	1.0	ProfTask						84
1	1	28294.17	28294.17	28301.829	#FFC0CB	1.0	ProfTask <8>						86
1	1	28311.169	28318.438	28327.203	#eb00ff	1.0	__binary_int64_int64_+ [primary] <9>						157
1	1	28351.445	28351.445	28352.375	#FFC0CB	1.0	ProfTask <10>						88
1	1	28368.273	28368.273	28368.821	#FFC0CB	1.0	ProfTask						90
1	1	28390.79	28390.79	28391.388	#FFC0CB	1.0	ProfTask <9>						92
1	1	28405.93	28413.401	28421.907	#ff0038	1.0	__binary_int64_double_/ [primary] <10>						158
1	1	28446.44	28446.44	28447.183	#FFC0CB	1.0	ProfTask <11>						94
1	1	28463.144	28463.144	28463.596	#FFC0CB	1.0	ProfTask						96
1	1	28487.495	28487.495	28494.251	#FFC0CB	1.0	ProfTask <10>						98
1	1	28501.156	28508.254	28517.372	#ff000e	1.0	__binary_double_int32_* [primary] <11>						159
2	2	28748.112	28748.112	28749.975	#FFC0CB	1.0	ProfTask <1>						100
2	2	28826.207	28826.207	28827.161	#FFC0CB	1.0	ProfTask <1>						102
2	2	28857.228	28857.228	28860.489	#FFC0CB	1.0	ProfTask						104
