time	count
0.00	0.00
10087578.94	0.25
10087804.15	0.00
10088306.88	0.25
10088320.73	0.00
10089748.16	0.25
10089794.28	0.50
10090079.15	0.25
10095646.08	0.50
10095668.85	0.25
10095732.70	0.50
10095735.88	0.25
10096011.53	0.50
10096034.02	0.25
10097149.29	0.50
10097158.40	0.25
10097267.87	0.50
10097282.03	0.25
10097325.54	0.50
10097334.86	0.25
10097350.30	0.00
10097385.96	0.25
10097400.28	0.00
10097443.72	0.25
10097446.71	0.00
10099675.84	0.25
10099695.73	0.00
10099755.40	0.25
10099758.38	0.00
10099883.77	0.25
10099898.37	0.00
10100033.24	0.25
10100035.77	0.00
10104095.86	0.25
10104145.95	0.00
10105859.75	0.25
10105860.65	0.00
10109306.12	0.25
10109375.21	0.50
10109408.53	0.25
10109431.60	0.50
10109470.55	0.25
10110898.99	0.50
10110904.84	0.25
10110984.56	0.50
10110995.31	0.25
10111829.76	0.50
10111842.55	0.25
10111887.52	0.50
10111891.41	0.25
10111962.25	0.50
10111965.40	0.25
10115456.57	0.00
10117997.74	0.25
10118023.90	0.00
10124866.09	0.25
10124869.07	0.00
10124925.74	0.25
10125434.61	0.00
10133310.37	0.25
10133319.12	0.00
10145334.02	0.25
10145337.34	0.00
10149145.50	0.25
10149206.24	0.00
10152837.65	0.25
10152848.61	0.00
10153846.13	0.25
10153856.52	0.00
10154807.49	0.25
10154810.87	0.00
10155613.19	0.25
10155649.22	0.00
10156425.69	0.25
10156429.17	0.00
10156983.63	0.25
10156985.45	0.00
10157106.92	0.25
10157109.97	0.00
10157158.32	0.25
10157169.65	0.00
10157292.12	0.25
10157296.33	0.00
10157366.39	0.25
10157369.04	0.00
10157431.87	0.25
10157434.32	0.00
10157511.38	0.25
10157513.58	0.00
10157675.08	0.25
10157677.68	0.00
10157751.65	0.25
10157759.98	0.00
10157859.75	0.25
10157862.32	0.00
10158189.40	0.25
10158206.93	0.50
10158210.25	0.25
10158361.88	0.00
10158564.59	0.25
10158673.19	0.50
10158701.50	0.25
10158957.46	0.50
10158971.73	0.25
10159028.00	0.50
10159030.83	0.25
10159125.70	0.50
10159128.20	0.25
10159375.56	0.50
10159404.95	0.75
10159410.48	0.50
10159670.19	0.25
10159701.24	0.50
10159708.44	0.25
10160161.64	0.00
10160456.84	0.25
10160466.08	0.00
10160575.42	0.25
10160590.98	0.00
10160636.80	0.25
10160639.84	0.00
10161895.04	0.25
10161898.20	0.00
10161977.74	0.25
10161982.34	0.00
10162072.52	0.25
10162075.66	0.00
10163472.56	0.25
10163489.59	0.00
10163564.25	0.25
10163566.97	0.00
10163647.87	0.25
10163653.85	0.00
10163734.93	0.25
10163739.91	0.00
10163814.23	0.25
10163817.04	0.00
10164093.93	0.25
10164122.14	0.50
10164124.51	0.25
10164212.62	0.00
10164245.93	0.25
10164250.38	0.00
10164823.25	0.25
10164835.66	0.00
10164901.03	0.25
10164980.16	0.50
10164984.16	0.25
10165220.51	0.00
10165351.71	0.25
10165354.27	0.00
10165881.33	0.25
10165890.84	0.00
10165942.38	0.25
10165945.41	0.00
10166704.68	0.25
10166717.79	0.00
10166797.57	0.25
10166800.13	0.00
10166851.23	0.25
10166867.03	0.00
10167138.20	0.25
10167140.35	0.00
10167263.05	0.25
10167269.98	0.00
10167403.52	0.25
10167406.53	0.00
10167902.69	0.25
10167907.66	0.00
10168127.34	0.25
10168128.20	0.00
10168185.78	0.25
10168188.02	0.00
10168476.45	0.25
10168479.58	0.50
10168479.42	0.25
10168483.77	0.00
10168536.97	0.25
10168557.27	0.00
10168582.31	0.25
10168584.75	0.00
10168623.32	0.25
10168625.92	0.00
10168880.98	0.25
10168882.11	0.00
10169008.18	0.25
10169011.02	0.00
10169055.35	0.25
10169057.34	0.00
10169453.83	0.25
10169458.95	0.00
10169563.60	0.25
10169565.99	0.00
10169701.21	0.25
10169701.80	0.00
10170873.40	0.25
10170875.83	0.00
10170928.19	0.25
10170956.18	0.00
10170990.66	0.25
10171002.84	0.00
10171048.74	0.25
10171050.97	0.00
10171092.94	0.25
10171094.95	0.00
10171143.39	0.25
10171145.59	0.00
10171185.68	0.25
10171187.95	0.00
10171357.24	0.25
10171378.97	0.50
10171386.55	0.25
10171482.14	0.50
10171491.94	0.25
10171604.52	0.50
10171605.03	0.25
10172740.00	0.50
10172741.84	0.25
10172964.27	0.50
10172978.51	0.25
10173002.91	0.50
10173005.73	0.25
10173190.43	0.50
10173194.79	0.25
10173512.80	0.50
10173514.63	0.25
10173592.24	0.50
10173620.75	0.75
10173624.99	0.50
10173664.58	0.75
10173673.86	0.50
10173801.60	0.75
10173802.75	0.50
10173859.55	0.75
10173863.42	0.50
10174141.09	0.25
10174171.12	0.50
10174175.47	0.25
10174427.78	0.50
10174430.30	0.25
10174860.54	0.50
10174887.26	0.25
10174900.58	0.00
10174930.37	0.25
10174933.90	0.50
10174934.90	0.25
10174937.50	0.00
10175082.48	0.25
10175084.52	0.00
10175131.58	0.25
10175140.75	0.00
10175344.19	0.25
10175344.74	0.00
10175551.36	0.25
10175554.02	0.00
10175599.96	0.25
10175602.37	0.00
10175847.10	0.25
10175847.96	0.00
10175882.45	0.25
10175891.58	0.00
10175921.36	0.25
10175923.76	0.00
10176101.93	0.25
10176103.14	0.00
10176452.93	0.25
10176456.10	0.00
10176498.85	0.25
10176509.22	0.00
10176704.10	0.25
10176704.75	0.00
10176909.80	0.25
10176910.26	0.00
10176934.27	0.25
10176936.58	0.00
10177116.17	0.25
10177116.70	0.00
10177145.32	0.25
10177148.00	0.00
10177208.52	0.25
10177210.83	0.00
10177336.68	0.25
10177338.56	0.00
10177565.74	0.25
10177566.24	0.00
10177626.92	0.25
10177634.38	0.00
10177679.00	0.25
10177681.31	0.00
10177802.08	0.25
10177804.00	0.00
10178146.08	0.25
10178150.83	0.00
10178188.31	0.25
10178199.19	0.00
10178459.92	0.25
10178462.85	0.00
10178513.59	0.25
10178516.05	0.00
10178552.82	0.25
10178554.03	0.50
10178556.04	0.25
10178559.65	0.00
10178591.04	0.25
10178597.81	0.00
10178634.10	0.25
10178636.38	0.00
10178950.89	0.25
10178951.56	0.00
10178976.02	0.25
10178978.89	0.00
10179037.38	0.25
10179039.39	0.00
10179089.97	0.25
10179092.07	0.00
10179131.84	0.25
10179142.10	0.00
10179264.25	0.25
10179264.82	0.00
10179323.58	0.25
10179325.73	0.00
10179532.42	0.25
10179532.98	0.00
10179566.65	0.25
10179568.77	0.00
10179620.10	0.25
10179625.53	0.00
10179665.59	0.25
10179667.66	0.00
10179706.78	0.25
10179715.61	0.00
10179837.31	0.25
10179837.88	0.00
10179892.44	0.25
10179894.82	0.00
10180099.73	0.25
10180100.37	0.00
10180197.30	0.25
10180197.78	0.00
10180317.72	0.25
10180318.15	0.00
10180985.33	0.25
10180985.78	0.00
10181001.95	0.25
10181142.20	0.00
10181190.57	0.25
10181191.72	0.00
10181220.96	0.25
10181223.41	0.00
10181496.96	0.25
10181497.44	0.00
10181548.35	0.25
10181550.57	0.00
10181682.63	0.25
10181683.08	0.00
10181742.30	0.25
10181749.11	0.00
10181811.84	0.25
10181814.05	0.00
10181948.33	0.25
10181948.88	0.00
10182161.73	0.25
10182162.16	0.00
10182200.85	0.25
10182203.10	0.00
10182371.26	0.25
10182375.09	0.00
10182419.22	0.25
10182421.20	0.00
10182591.89	0.25
10182592.40	0.00
10182637.06	0.25
10182639.40	0.00
10182683.37	0.25
10182690.55	0.00
10182920.36	0.25
10182920.96	0.00
10182988.65	0.25
10182991.11	0.00
10183203.04	0.25
10183203.72	0.00
10183265.96	0.25
10183268.68	0.00
10183356.57	0.25
10183357.24	0.00
10183539.85	0.25
10183540.29	0.00
10183614.10	0.25
10183616.65	0.00
10183736.81	0.25
10183737.32	0.00
10183806.67	0.25
10183808.72	0.00
10184020.23	0.25
10184021.15	0.00
10184091.29	0.25
10184098.45	0.00
10184499.89	0.25
10184504.64	0.00
10184557.85	0.25
10184560.02	0.00
10184606.76	0.25
10184608.73	0.00
10184765.06	0.25
10184793.03	0.50
10184795.63	0.25
10184856.68	0.50
10184859.27	0.25
10184914.53	0.50
10184916.81	0.25
10184955.10	0.50
10184957.51	0.25
10185005.15	0.50
10185012.32	0.25
10185047.06	0.50
10185049.38	0.25
10185092.17	0.50
10185094.39	0.25
10185131.88	0.50
10185137.59	0.25
10185175.92	0.50
10185178.13	0.25
10185213.08	0.50
10185215.34	0.25
10185257.53	0.50
10185263.70	0.25
10185311.62	0.50
10185313.94	0.25
10185420.44	0.50
10185422.56	0.25
10185470.77	0.50
10185473.07	0.25
10185514.42	0.50
10185516.54	0.25
10185621.72	0.50
10185622.75	0.25
10185729.99	0.00
10185748.22	0.25
10185748.77	0.00
10185758.38	0.25
10185770.96	0.00
10186383.32	0.25
10186385.17	0.00
10186520.63	0.25
10186528.96	0.00
10186572.40	0.25
10186575.03	0.00
10186809.89	0.25
10186812.16	0.00
10187025.02	0.25
10187025.70	0.00
10187088.58	0.25
10187091.24	0.00
10187219.89	0.25
10187220.39	0.00
10187270.01	0.25
10187275.24	0.00
10187409.03	0.25
10187409.57	0.00
10187463.88	0.25
10187469.55	0.00
10187656.86	0.25
10187661.08	0.00
