level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3			10095906.952	10095992.354	#ff7100	1.0	Equal Partition	3					855
3			10115520.439	10120666.131	#ff3800	1.0	Partition by Preimage	5					3097
3			10120748.686	10124790.941	#ff3800	1.0	Partition by Image	6					856
3			10156787.212	10156937.051	#ff0038	1.0	Intersection Reduction	1					857
3			10165215.049	10165307.874	#00fff6	1.0	Difference	18					858
3			10166575.823	10167098.19	#00fff6	1.0	Difference	18					859
3			10168065.94	10168106.391	#00fff6	1.0	Difference	22					860
3			10168356.155	10168443.588	#00fff6	1.0	Difference	22					3272
3			10168793.635	10168860.773	#00fff6	1.0	Difference	22					861
3			10169527.698	10169538.373	#00fff6	1.0	Difference	18					862
3			10169667.992	10169679.113	#00fff6	1.0	Difference	18					863
3			10171452.91	10171464.309	#00fff6	1.0	Difference	22					864
3			10171573.779	10171585.385	#00fff6	1.0	Difference	22					865
3			10172535.561	10172695.675	#00fff6	1.0	Intersection Reduction	22					3273
3			10173366.913	10173472.49	#00fff6	1.0	Intersection Reduction	23					866
3			10173746.386	10173773.966	#00fff6	1.0	Intersection Reduction	23					3274
3			10174316.592	10174399.475	#00fff6	1.0	Union Reduction	23					3912
3			10175031.432	10175060.957	#00fff6	1.0	Difference	23					867
3			10175267.99	10175321.636	#00fff6	1.0	Difference	23					868
3			10175747.192	10175825.25	#00fff6	1.0	Intersection Reduction	23					3913
3			10176020.894	10176080.274	#00fff6	1.0	Difference	23					869
3			10176631.247	10176686.07	#00fff6	1.0	Difference	23					870
3			10176813.062	10176888.109	#00fff6	1.0	Intersection Reduction	24					871
3			10177036.057	10177093.91	#00fff6	1.0	Difference	23					3914
3			10177288.838	10177310.836	#00fff6	1.0	Intersection Reduction	24					872
3			10177531.295	10177548.19	#00fff6	1.0	Difference	23					873
3			10177768.358	10177785.57	#00fff6	1.0	Intersection Reduction	24					874
3			10178329.971	10178524.631	#00fff6	1.0	Union Reduction	24					875
3			10178855.304	10178928.558	#00fff6	1.0	Intersection Reduction	24					876
3			10179216.342	10179242.706	#00fff6	1.0	Intersection Reduction	24					877
3			10179445.662	10179512.101	#00fff6	1.0	Union Reduction	24					878
3			10179792.398	10179817.516	#00fff6	1.0	Difference	24					879
3			10180034.13	10180082.143	#00fff6	1.0	Difference	24					880
3			10180166.428	10180176.998	#00fff6	1.0	Difference	23					881
3			10180286.06	10180296.849	#00fff6	1.0	Difference	23					882
3			10180875.376	10180960.365	#00fff6	1.0	Intersection Reduction	23					883
3			10181102.634	10181173.095	#00fff6	1.0	Intersection Reduction	24					884
3			10181431.482	10181476.655	#00fff6	1.0	Intersection Reduction	23					885
3			10181644.662	10181665.908	#00fff6	1.0	Difference	24					886
3			10181885.465	10181927.887	#00fff6	1.0	Intersection Reduction	23					887
3			10182098.913	10182144.299	#00fff6	1.0	Difference	24					888
3			10182506.5	10182571.801	#00fff6	1.0	Difference	24					889
3			10182880.029	10182903.387	#00fff6	1.0	Difference	24					890
3			10183162.996	10183180.219	#00fff6	1.0	Intersection Reduction	24					3915
3			10183321.08	10183338.65	#00fff6	1.0	Difference	24					891
3			10183507.405	10183521.176	#00fff6	1.0	Difference	24					892
3			10183698.961	10183716.146	#00fff6	1.0	Difference	24					893
3			10183989.83	10184003.603	#00fff6	1.0	Difference	24					894
3			10185587.051	10185600.391	#00fff6	1.0	Difference	24					3916
3			10185713.165	10185725.294	#00fff6	1.0	Difference	24					3917
3			10186279.441	10186360.083	#00fff6	1.0	Intersection Reduction	24					895
3			10186664.93	10186737.537	#00fff6	1.0	Intersection Reduction	24					3098
3			10186958.968	10187004.926	#00fff6	1.0	Intersection Reduction	24					896
3			10187160.098	10187202.791	#00fff6	1.0	Intersection Reduction	24					897
3			10187344.217	10187389.669	#00fff6	1.0	Intersection Reduction	24					898
3			10189589.629	10189598.876	#0042ff	1.0	Intersection Reduction	29					899
3			10189708.318	10189717.53	#0042ff	1.0	Intersection Reduction	29					900
3			10189808.48	10189817.001	#0042ff	1.0	Intersection Reduction	29					901
3			10189964.245	10190015.101	#0042ff	1.0	Union Reduction	29					902
3			10190478.376	10190493.161	#0042ff	1.0	Difference	29					903
3			10190711.443	10190759.281	#0042ff	1.0	Difference	29					904
3			10191087.809	10191113.846	#0042ff	1.0	Intersection Reduction	29					905
3			10191276.185	10191295.895	#0042ff	1.0	Intersection Reduction	29					906
