time	count
0.00	0.00
10086755.11	1.00
10087511.45	0.00
10087614.72	1.00
10088272.33	0.00
10088342.78	1.00
10089722.67	0.00
10095364.07	1.00
10095604.20	0.00
10095648.32	1.00
10095712.56	0.00
10095741.84	1.00
10097109.62	0.00
10097153.48	1.00
10097227.79	0.00
10097265.07	1.00
10097295.27	0.00
10097334.28	1.00
10097360.77	0.00
10097393.30	1.00
10097417.04	0.00
10097454.47	1.00
10099634.62	0.00
10099677.38	1.00
10099726.57	0.00
10099768.05	1.00
10099863.18	0.00
10099897.68	1.00
10100011.66	0.00
10100045.28	1.00
10109308.29	0.00
10109348.05	1.00
10109398.89	0.00
10109431.47	1.00
10110856.58	0.00
10110902.26	1.00
10110951.34	0.00
10110987.31	1.00
10111800.48	0.00
10111837.66	1.00
10111864.31	0.00
10111892.99	1.00
10111938.56	0.00
10115487.38	1.00
10117141.28	0.00
10117168.02	1.00
10117951.32	0.00
10120709.90	1.00
10120713.32	0.00
10120759.99	1.00
10133258.66	0.00
10133321.63	1.00
10145297.31	0.00
10145384.70	1.00
10149109.41	0.00
10149153.04	1.00
10152740.14	0.00
10152794.87	1.00
10153009.28	0.00
10153041.54	1.00
10153810.18	0.00
10153855.06	1.00
10154779.73	0.00
10154819.40	1.00
10155589.16	0.00
10155626.22	1.00
10156399.03	0.00
10156443.80	1.00
10156891.25	0.00
10156924.88	1.00
10157078.59	0.00
10157124.01	1.00
10157138.73	0.00
10157173.81	1.00
10157271.14	0.00
10157307.87	1.00
10157344.79	0.00
10157380.32	1.00
10157412.86	0.00
10157444.58	1.00
10157489.17	0.00
10157521.84	1.00
10157653.57	0.00
10157688.84	1.00
10157733.26	0.00
10157762.94	1.00
10157839.81	0.00
10157871.94	1.00
10158183.34	0.00
10158400.64	1.00
10158421.76	0.00
10158498.36	1.00
10158631.12	0.00
10158809.49	1.00
10158927.30	0.00
10158962.33	1.00
10159008.12	0.00
10159037.13	1.00
10159105.09	0.00
10159135.38	1.00
10159375.91	0.00
10159643.95	1.00
10160406.53	0.00
10160465.32	1.00
10160544.59	0.00
10160583.86	1.00
10160617.52	0.00
10160648.81	1.00
10161865.34	0.00
10161910.44	1.00
10161949.83	0.00
10161984.67	1.00
10162051.65	0.00
10162084.63	1.00
10163439.71	0.00
10163479.31	1.00
10163542.76	0.00
10163577.73	1.00
10163627.37	0.00
10163661.43	1.00
10163709.54	0.00
10163742.06	1.00
10163794.20	0.00
10163826.89	1.00
10164096.81	0.00
10164133.57	1.00
10164795.17	0.00
10164834.15	1.00
10164946.37	0.00
10164992.53	1.00
10165246.21	0.00
10165264.74	1.00
10165855.18	0.00
10165906.31	1.00
10165920.41	0.00
10165965.81	1.00
10166595.26	0.00
10166606.74	1.00
10166672.47	0.00
10166711.90	1.00
10166773.49	0.00
10166807.51	1.00
10166829.25	0.00
10166865.43	1.00
10167240.42	0.00
10167278.63	1.00
10167384.53	0.00
10167419.34	1.00
10167879.65	0.00
10167918.20	1.00
10168138.70	0.00
10168150.64	1.00
10168160.39	0.00
10168201.79	1.00
10168418.22	0.00
10168429.58	1.00
10168448.61	0.00
10168488.02	1.00
10168515.64	0.00
10168546.82	1.00
10168563.37	0.00
10168594.00	1.00
10168605.81	0.00
10168636.79	1.00
10168857.80	0.00
10168868.90	1.00
10168984.28	0.00
10169024.48	1.00
10169037.83	0.00
10169068.90	1.00
10169425.17	0.00
10169464.93	1.00
10170835.84	0.00
10170887.99	1.00
10170908.51	0.00
10170938.57	1.00
10170965.87	0.00
10171000.38	1.00
10171030.11	0.00
10171062.12	1.00
10171075.22	0.00
10171111.08	1.00
10171125.61	0.00
10171156.25	1.00
10171168.11	0.00
10171197.36	1.00
10171357.63	0.00
10171392.60	1.00
10172579.44	0.00
10172591.19	1.00
