op_id	desc	proc	level
0	Operation <0>		
1	toplevel [primary] <1>	CPU Processor 0x1d00000000000001	2
3	Pending Partition Operation <3>		
4	initialize_graph [primary] <4>	CPU Processor 0x1d00000000000002	2
5	Dependent Partition Operation <5>		
6	Dependent Partition Operation <6>		
7	Fence Operation <7>		
8	__unary_bool_not [primary] <8>	CPU Processor 0x1d00000000000001	3
9	__binary_int32_int32_+ [primary] <9>	CPU Processor 0x1d00000000000002	2
10	update_ranks <10>		
11	__binary_int32_uint32_>= [primary] <11>	CPU Processor 0x1d00000000000001	3
12	update_ranks <12>		
13	update_ranks <13>		
14	update_ranks <14>		
15	update_ranks <15>		
16	update_ranks [primary] <16>	CPU Processor 0x1d00000000000001	3
17	l2_norm [primary] <17>	CPU Processor 0x1d00000000000001	3
18	__binary_double_double_< [primary] <18>	CPU Processor 0x1d00000000000001	3
19	Merge Close Operation <19>		
20	update_ranks [primary] <20>	CPU Processor 0x1d00000000000002	2
21	update_ranks [primary] <21>	CPU Processor 0x1d00000000000001	3
22	update_ranks [primary] <22>	CPU Processor 0x1d00000000000001	3
23	Fill Operation <23>		
24	Copy Operation <24>		
25	__unary_bool_not [primary] <25>	CPU Processor 0x1d00000000000001	3
26	Merge Close Operation <26>		
27	Merge Close Operation <27>		
28	__binary_int32_int32_+ [primary] <28>	CPU Processor 0x1d00000000000001	3
29	update_ranks <29>		
30	__binary_int32_uint32_>= [primary] <30>	CPU Processor 0x1d00000000000001	3
31	update_ranks <31>		
32	update_ranks <32>		
33	update_ranks <33>		
34	update_ranks <34>		
35	update_ranks [primary] <35>	CPU Processor 0x1d00000000000001	3
36	l2_norm [primary] <36>	CPU Processor 0x1d00000000000001	3
37	__binary_double_double_< [primary] <37>	CPU Processor 0x1d00000000000001	3
38	Merge Close Operation <38>		
39	update_ranks [primary] <39>	CPU Processor 0x1d00000000000002	2
40	update_ranks [primary] <40>	CPU Processor 0x1d00000000000003	2
41	update_ranks [primary] <41>	CPU Processor 0x1d00000000000001	3
42	Fill Operation <42>		
43	Copy Operation <43>		
44	__unary_bool_not [primary] <44>	CPU Processor 0x1d00000000000001	3
45	Merge Close Operation <45>		
46	Merge Close Operation <46>		
47	__binary_int32_int32_+ [primary] <47>	CPU Processor 0x1d00000000000001	3
48	update_ranks <48>		
49	__binary_int32_uint32_>= [primary] <49>	CPU Processor 0x1d00000000000001	3
50	update_ranks <50>		
51	update_ranks <51>		
52	update_ranks <52>		
53	update_ranks <53>		
54	update_ranks [primary] <54>	CPU Processor 0x1d00000000000001	3
55	l2_norm [primary] <55>	CPU Processor 0x1d00000000000001	3
56	__binary_double_double_< [primary] <56>	CPU Processor 0x1d00000000000001	3
57	Merge Close Operation <57>		
58	update_ranks [primary] <58>	CPU Processor 0x1d00000000000002	2
59	update_ranks [primary] <59>	CPU Processor 0x1d00000000000003	2
60	update_ranks [primary] <60>	CPU Processor 0x1d00000000000001	3
61	Fill Operation <61>		
62	Copy Operation <62>		
63	__unary_bool_not [primary] <63>	CPU Processor 0x1d00000000000001	3
64	Merge Close Operation <64>		
65	Merge Close Operation <65>		
66	__binary_int32_int32_+ [primary] <66>	CPU Processor 0x1d00000000000001	3
67	update_ranks <67>		
68	__binary_int32_uint32_>= [primary] <68>	CPU Processor 0x1d00000000000001	3
69	update_ranks <69>		
70	update_ranks <70>		
71	update_ranks <71>		
72	update_ranks <72>		
73	update_ranks [primary] <73>	CPU Processor 0x1d00000000000001	3
74	l2_norm [primary] <74>	CPU Processor 0x1d00000000000001	3
75	__binary_double_double_< [primary] <75>	CPU Processor 0x1d00000000000001	3
76	Merge Close Operation <76>		
77	update_ranks [primary] <77>	CPU Processor 0x1d00000000000002	2
78	update_ranks [primary] <78>	CPU Processor 0x1d00000000000003	2
79	update_ranks [primary] <79>	CPU Processor 0x1d00000000000001	3
80	Fill Operation <80>		
81	Copy Operation <81>		
82	__unary_bool_not [primary] <82>	CPU Processor 0x1d00000000000001	3
83	Merge Close Operation <83>		
84	Merge Close Operation <84>		
85	Fence Operation <85>		
86	Deletion Operation <86>		
87	Deletion Operation <87>		
88	Deletion Operation <88>		
