time	count
0.00	0.00
5140575.87	1.00
5140794.21	0.00
5146195.37	1.00
5146263.47	0.00
5148380.96	1.00
5148494.07	0.00
5150151.01	1.00
5150213.17	0.00
5151846.70	1.00
5151968.39	0.00
5156254.22	1.00
5156365.54	0.00
5159756.90	1.00
5159865.68	0.00
5161111.42	1.00
5161218.54	0.00
5162449.71	1.00
5162562.54	0.00
5163956.03	1.00
5164074.71	0.00
5168290.14	1.00
5168341.62	0.00
5171761.14	1.00
5171869.74	0.00
5173107.07	1.00
5173211.65	0.00
5174444.87	1.00
5174563.62	0.00
5175940.50	1.00
5175999.49	0.00
5180331.43	1.00
5180458.62	0.00
