level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3			5085328.458	5085416.172	#34ff00	1.0	Equal Partition	3					3348
3			5105716.403	5111433.11	#ffe300	1.0	Partition by Preimage	5					2952
3			5111590.79	5115837.92	#ffe300	1.0	Partition by Image	6					2953
3			5116886.86	5117048.745	#007eff	1.0	Intersection Reduction	1					789
3			5124305.456	5124402.721	#ff000e	1.0	Difference	19					790
3			5125517.78	5126073.615	#ff000e	1.0	Difference	19					791
3			5126212.29	5126265.178	#ff000e	1.0	Difference	23					792
3			5127138.525	5127213.66	#ff000e	1.0	Difference	23					793
3			5127552.025	5127625.724	#ff000e	1.0	Difference	23					794
3			5128268.209	5128279.346	#ff000e	1.0	Difference	19					795
3			5128384.988	5128394.468	#ff000e	1.0	Difference	19					3349
3			5130120.486	5130131.801	#ff000e	1.0	Difference	23					3350
3			5130216.763	5130226.452	#ff000e	1.0	Difference	23					3351
3			5131047.055	5131227.954	#ff000e	1.0	Intersection Reduction	23					3352
3			5131733.943	5131831.065	#ff000e	1.0	Intersection Reduction	24					3353
3			5132035.08	5132063.974	#ff000e	1.0	Intersection Reduction	24					3947
3			5132856.149	5132937.213	#ff000e	1.0	Union Reduction	24					3948
3			5133359.225	5133397.109	#ff000e	1.0	Difference	24					796
3			5133635.003	5133690.842	#ff000e	1.0	Difference	24					797
3			5134482.414	5134584.118	#ff000e	1.0	Intersection Reduction	24					798
3			5134819.27	5134879.908	#ff000e	1.0	Difference	24					799
3			5134920.824	5134942.08	#ff000e	1.0	Intersection Reduction	25					800
3			5135129.716	5135191.88	#ff000e	1.0	Difference	24					801
3			5135275.896	5135368.621	#ff000e	1.0	Intersection Reduction	25					802
3			5135443.094	5135501.678	#ff000e	1.0	Difference	24					3354
3			5135623.716	5135648.178	#ff000e	1.0	Intersection Reduction	25					803
3			5135894.795	5135915.549	#ff000e	1.0	Difference	24					804
3			5136185.576	5136442.74	#ff000e	1.0	Union Reduction	25					805
3			5136923.931	5136954.18	#ff000e	1.0	Intersection Reduction	25					806
3			5137182.816	5137261.8	#ff000e	1.0	Intersection Reduction	25					807
3			5137493.325	5137563.513	#ff000e	1.0	Union Reduction	25					808
3			5137762.103	5137787.978	#ff000e	1.0	Difference	25					809
3			5138169.436	5138228.561	#ff000e	1.0	Difference	25					2954
3			5138426.135	5138497.752	#ff000e	1.0	Intersection Reduction	25					3355
3			5138783.177	5138809.813	#ff000e	1.0	Difference	25					810
3			5138900.004	5138909.477	#ff000e	1.0	Difference	24					811
3			5138997.369	5139006.119	#ff000e	1.0	Difference	24					812
3			5139524.23	5139614.383	#ff000e	1.0	Intersection Reduction	24					813
3			5139744.397	5139811.72	#ff000e	1.0	Difference	25					3949
3			5140074.552	5140126.834	#ff000e	1.0	Intersection Reduction	24					814
3			5140274.906	5140349.434	#ff000e	1.0	Difference	25					815
3			5140472.455	5140519.675	#ff000e	1.0	Intersection Reduction	24					3356
3			5140711.765	5140739.867	#ff000e	1.0	Difference	25					816
3			5141195.662	5141215.003	#ff000e	1.0	Intersection Reduction	25					817
3			5141424.305	5141443.927	#ff000e	1.0	Difference	25					818
3			5141580.935	5141601.361	#ff000e	1.0	Difference	25					819
3			5141890.785	5141908.274	#ff000e	1.0	Difference	25					3357
3			5142267.547	5142288.294	#ff000e	1.0	Difference	25					3358
3			5142893.527	5142906.438	#ff000e	1.0	Difference	25					820
3			5142985.627	5142995.767	#ff000e	1.0	Difference	25					821
3			5143429.745	5143521.847	#ff000e	1.0	Intersection Reduction	25					822
3			5143778.153	5143859.935	#ff000e	1.0	Intersection Reduction	25					2955
3			5144101.036	5144150.317	#ff000e	1.0	Intersection Reduction	25					2956
3			5144292.868	5144346.936	#ff000e	1.0	Intersection Reduction	25					2957
3			5144489.96	5144540.172	#ff000e	1.0	Intersection Reduction	25					2958
3			5146588.78	5146598.19	#85ff00	1.0	Intersection Reduction	30					823
3			5146661.222	5146667.773	#85ff00	1.0	Intersection Reduction	30					824
3			5146727.25	5146733.641	#85ff00	1.0	Intersection Reduction	30					825
3			5146861.699	5146907.618	#85ff00	1.0	Union Reduction	30					826
3			5147234.229	5147254.33	#85ff00	1.0	Difference	30					827
3			5147587.09	5147646.938	#85ff00	1.0	Difference	30					828
3			5147843.408	5147872.958	#85ff00	1.0	Intersection Reduction	30					829
3			5148032.75	5148056.815	#85ff00	1.0	Intersection Reduction	30					830
3			5148109.379	5148115.987	#85ff00	1.0	Intersection Reduction	31					831
3			5148172.696	5148178.529	#85ff00	1.0	Intersection Reduction	31					832
