time	count
0.00	0.00
5072128.55	1.00
5072359.90	0.00
5072823.12	1.00
5072829.16	0.00
5073892.57	1.00
5080215.84	0.00
5080247.74	1.00
5080271.70	0.00
5080283.56	1.00
5080300.35	0.00
5080306.22	1.00
5080308.41	0.00
5080313.35	1.00
5080315.30	0.00
5080320.13	1.00
5080322.30	0.00
5080327.03	1.00
5080328.95	0.00
5080344.40	1.00
5080350.44	0.00
5080356.25	1.00
5080358.39	0.00
5081654.76	1.00
5081658.86	0.00
5081732.76	1.00
5081735.70	0.00
5081843.76	1.00
5081846.33	0.00
5082097.16	1.00
5082103.73	0.00
5082222.41	1.00
5082225.37	0.00
5086237.97	1.00
5086273.22	0.00
5087739.70	1.00
5087741.14	0.00
5090722.06	1.00
5097722.60	0.00
5098691.35	1.00
5098724.20	0.00
5103256.13	1.00
5103258.43	0.00
5103842.30	1.00
5103849.47	0.00
5104262.19	1.00
5104264.95	0.00
5104421.96	1.00
5104425.65	0.00
5104576.33	1.00
5104578.81	0.00
5107396.07	1.00
5107397.15	0.00
5107434.03	1.00
5107710.82	0.00
5107774.13	1.00
5107792.12	0.00
5107849.34	1.00
5107852.79	0.00
5107908.44	1.00
5107910.71	0.00
5107966.57	1.00
5107969.27	0.00
5108386.18	1.00
5108389.37	0.00
5108403.70	1.00
5108405.17	0.00
5108457.37	1.00
5108459.96	0.00
5108496.54	1.00
5108498.70	0.00
5108640.81	1.00
5108667.10	0.00
5108695.90	1.00
5108699.50	0.00
5108845.62	1.00
5108848.70	0.00
5108910.41	1.00
5108913.06	0.00
5109008.05	1.00
5109010.36	0.00
5109259.58	1.00
5109339.58	0.00
5109429.57	1.00
5110663.02	0.00
5110695.58	1.00
5110775.83	0.00
5110812.36	1.00
5110827.18	0.00
5110872.89	1.00
5110877.00	0.00
5110970.54	1.00
5110974.83	0.00
5111024.08	1.00
5111026.48	0.00
5112051.57	1.00
5112059.40	0.00
5112072.33	1.00
5112077.54	0.00
5112120.16	1.00
5112122.59	0.00
5112928.55	1.00
5112932.12	0.00
5113027.79	1.00
5113038.34	0.00
5113216.15	1.00
5113292.49	0.00
5113324.75	1.00
5113329.98	0.00
5113338.76	1.00
5113342.45	0.00
5114048.13	1.00
5114051.46	0.00
5114105.11	1.00
5114305.96	0.00
5114316.58	1.00
5114331.28	0.00
5114437.63	1.00
5114439.22	0.00
5114755.55	1.00
5114760.16	0.00
5115234.59	1.00
5115235.43	0.00
5115305.37	1.00
5115309.76	0.00
5115438.43	1.00
5115441.62	0.00
5115848.61	1.00
5115853.82	0.00
5116073.17	1.00
5116073.84	0.00
5116436.25	1.00
5116438.89	0.00
5116479.37	1.00
5116487.16	0.00
5116655.17	1.00
5116655.81	0.00
5117049.88	1.00
5117052.83	0.00
5117097.30	1.00
5117099.98	0.00
5118105.35	1.00
5118107.87	0.00
5118122.07	1.00
5118130.84	0.00
5118137.97	1.00
5118140.36	0.00
5118145.96	1.00
5118150.03	0.00
5118155.71	1.00
5118169.18	0.00
5118174.68	1.00
5118176.92	0.00
5118182.06	1.00
5118184.16	0.00
5118189.57	1.00
5118196.21	0.00
5118312.43	1.00
5118318.71	0.00
5118329.22	1.00
5118331.55	0.00
5118484.73	1.00
5118491.88	0.00
5118736.57	1.00
5118750.56	0.00
5118784.08	1.00
5118787.06	0.00
5118793.85	1.00
5118795.86	0.00
5118801.45	1.00
5118803.67	0.00
5118809.39	1.00
5118811.43	0.00
5118817.56	1.00
5118826.02	0.00
5118930.84	1.00
5118937.13	0.00
5118970.34	1.00
5118972.61	0.00
5119052.30	1.00
5119057.74	0.00
5119405.47	1.00
5119413.10	0.00
5119424.70	1.00
5119426.06	0.00
5119431.42	1.00
5119439.46	0.00
5119445.56	1.00
5119447.74	0.00
5119453.19	1.00
5119455.41	0.00
5119914.94	1.00
5119931.58	0.00
5119945.26	1.00
5119952.37	0.00
5120245.10	1.00
5120246.95	0.00
5120257.11	1.00
5120257.61	0.00
5120262.83	1.00
5120263.22	0.00
5121185.29	1.00
5121195.46	0.00
5121210.12	1.00
5121219.35	0.00
5121228.62	1.00
5121235.27	0.00
5121240.94	1.00
5121243.49	0.00
5121249.40	1.00
5121249.87	0.00
5121254.49	1.00
5121254.87	0.00
5121595.07	1.00
5121598.70	0.00
5121606.78	1.00
5121607.37	0.00
5121781.55	1.00
5121782.98	0.00
5121823.37	1.00
5121829.10	0.00
5122157.13	1.00
5122170.77	0.00
5122184.08	1.00
5122185.36	0.00
5122190.60	1.00
5122208.68	0.00
5122219.88	1.00
5122222.94	0.00
5122551.37	1.00
5123662.42	0.00
5123706.89	1.00
5123708.97	0.00
5123716.01	1.00
5123723.71	0.00
5123729.54	1.00
5123731.63	0.00
5123736.79	1.00
5123737.32	0.00
5123742.47	1.00
5123745.18	0.00
5123750.91	1.00
5123752.92	0.00
5123759.08	1.00
5123765.46	0.00
5123771.59	1.00
5123775.74	0.00
5123781.90	1.00
5123782.48	0.00
5123787.41	1.00
5123795.91	0.00
5123801.17	1.00
5123803.45	0.00
5123809.06	1.00
5123809.60	0.00
5123871.94	1.00
5123872.51	0.00
5123905.66	1.00
5123908.29	0.00
5124042.93	1.00
5124046.13	0.00
5124053.40	1.00
5124053.95	0.00
5124155.21	1.00
5124155.76	0.00
5124191.05	1.00
5124197.58	0.00
5124374.45	1.00
5124377.46	0.00
5124410.03	1.00
5124410.64	0.00
5124583.08	1.00
5124586.32	0.00
5124775.48	1.00
5124776.95	0.00
5124832.38	1.00
5124832.92	0.00
5124839.20	1.00
5124842.02	0.00
5125063.57	1.00
5125066.54	0.00
5125085.18	1.00
5125085.78	0.00
5125275.02	1.00
5125282.57	0.00
5125289.48	1.00
