time	count
0.00	0.00
5067249.40	1.00
5068002.76	0.00
5068089.07	1.00
5068752.79	0.00
5068819.60	1.00
5070191.47	0.00
5074903.74	1.00
5075137.71	0.00
5075197.34	1.00
5075249.34	0.00
5075275.92	1.00
5076387.70	0.00
5076429.07	1.00
5076452.87	0.00
5076481.76	1.00
5076489.20	0.00
5076517.02	1.00
5076523.68	0.00
5076553.70	1.00
5076560.23	0.00
5076587.45	1.00
5078433.97	0.00
5078482.86	1.00
5078549.24	0.00
5078583.21	1.00
5078675.67	0.00
5078710.90	1.00
5078945.50	0.00
5078983.77	1.00
5079099.95	0.00
5079135.43	1.00
5087648.12	0.00
5087699.53	1.00
5087749.34	0.00
5087783.88	1.00
5089061.35	0.00
5089110.75	1.00
5089170.45	0.00
5089206.19	1.00
5089876.28	0.00
5089918.80	1.00
5089953.37	0.00
5089986.50	1.00
5090037.97	0.00
5095962.90	1.00
5096839.54	0.00
5101070.58	1.00
5101584.30	0.00
5101642.01	1.00
5102032.88	0.00
5102069.34	1.00
5102204.50	0.00
5102246.48	1.00
5102375.07	0.00
5102407.10	1.00
5102554.15	0.00
5105255.33	1.00
5105477.33	0.00
5105518.16	1.00
5105568.78	0.00
5105613.16	1.00
5105660.80	0.00
5105694.58	1.00
5105729.94	0.00
5105777.29	1.00
5105812.03	0.00
5105851.49	1.00
5106240.45	0.00
5106270.55	1.00
5106311.98	0.00
5106351.70	1.00
5106399.77	0.00
5106434.52	1.00
5106448.66	0.00
5106481.44	1.00
5106593.43	0.00
5106631.09	1.00
5106639.43	0.00
5106671.82	1.00
5106835.43	0.00
5106872.92	1.00
5106920.67	0.00
5106950.74	1.00
5107039.19	0.00
5107071.83	1.00
5107372.14	0.00
5107498.04	1.00
5107518.53	0.00
5107592.36	1.00
5107709.36	0.00
5107860.41	1.00
5107977.76	0.00
5108012.57	1.00
5108051.73	0.00
5108080.14	1.00
5108161.82	0.00
5108193.15	1.00
5108398.84	0.00
5108484.60	1.00
5108494.67	0.00
5108504.70	1.00
5108584.29	0.00
5108677.97	1.00
5109574.79	0.00
5109617.66	1.00
5109646.40	0.00
5109676.87	1.00
5109774.28	0.00
5109808.13	1.00
5109845.00	0.00
5109875.74	1.00
5109944.58	0.00
5109980.55	1.00
5111081.31	0.00
5111122.69	1.00
5111193.86	0.00
5111229.29	1.00
5111280.80	0.00
5111313.45	1.00
5111361.21	0.00
5111393.49	1.00
5111445.99	0.00
5111478.03	1.00
5111676.68	0.00
5111716.41	1.00
5112316.00	0.00
5112356.67	1.00
5112444.96	0.00
5112485.24	1.00
5113313.41	0.00
5113331.81	1.00
5114051.42	0.00
5114100.65	1.00
5114117.04	0.00
5114161.54	1.00
5114607.93	0.00
5114619.18	1.00
5114730.94	0.00
5114773.81	1.00
5114823.41	0.00
5114862.59	1.00
5114875.88	0.00
5114904.84	1.00
5114927.55	0.00
5114955.76	1.00
5114966.21	0.00
5114994.90	1.00
5115290.37	0.00
5115329.97	1.00
5115435.86	0.00
5115471.28	1.00
5115829.04	0.00
5115866.19	1.00
5116292.55	0.00
5116303.77	1.00
5116324.50	0.00
5116370.58	1.00
5116389.59	0.00
5116422.63	1.00
5116440.34	0.00
5116471.44	1.00
5116479.81	0.00
5116511.13	1.00
5116677.08	0.00
5116686.87	1.00
5116692.66	0.00
5116704.89	1.00
5118384.99	0.00
5118444.30	1.00
5118458.24	0.00
5118491.53	1.00
5118678.29	0.00
5118683.20	1.00
5118711.87	0.00
5118749.25	1.00
5118769.17	0.00
5118802.09	1.00
5118818.68	0.00
5118839.81	1.00
5118968.19	0.00
5119001.06	1.00
5119014.80	0.00
5119045.75	1.00
5119322.89	0.00
5119359.49	1.00
5119373.13	0.00
5119402.43	1.00
5119424.12	0.00
5119453.05	1.00
5119472.35	0.00
5119500.98	1.00
5119514.91	0.00
5119542.58	1.00
5119556.48	0.00
5119584.68	1.00
5119596.85	0.00
5119624.28	1.00
5121018.31	0.00
5121028.96	1.00
5121266.58	0.00
5121304.02	1.00
5121310.80	0.00
5121344.11	1.00
5121489.56	0.00
5121533.48	1.00
5121854.64	0.00
5121865.53	1.00
5121966.24	0.00
5122004.72	1.00
5122018.11	0.00
5122049.26	1.00
5122161.66	0.00
5122171.16	1.00
5122177.52	0.00
5122183.35	1.00
5122404.83	0.00
5122442.43	1.00
5122450.42	0.00
5122481.14	1.00
5122946.07	0.00
5122951.75	1.00
5122953.01	0.00
5122962.44	1.00
5123270.39	0.00
5123309.44	1.00
5123323.29	0.00
5123353.41	1.00
5123466.95	0.00
5123471.51	1.00
5123473.26	0.00
5123481.16	1.00
5123515.33	0.00
5123545.92	1.00
5123553.00	0.00
5123585.45	1.00
5123728.00	0.00
5123732.79	1.00
5123733.80	0.00
5123742.30	1.00
5123763.71	0.00
5123791.12	1.00
5123809.27	0.00
5123836.82	1.00
5123853.04	0.00
5123884.67	1.00
5123895.63	0.00
5123923.53	1.00
5124099.03	0.00
5124103.91	1.00
5124129.66	0.00
5124172.84	1.00
5124194.15	0.00
5124237.99	1.00
5124259.68	0.00
5124289.21	1.00
5124300.86	0.00
5124343.18	1.00
5124453.62	0.00
5124462.99	1.00
5124688.76	0.00
5124726.48	1.00
5124737.24	0.00
5124779.29	1.00
5124937.52	0.00
5124947.76	1.00
5125465.34	0.00
5125517.98	1.00
5125531.25	0.00
5125564.16	1.00
5125686.42	0.00
5125695.56	1.00
5125746.70	0.00
5125782.26	1.00
5125803.18	0.00
5125834.31	1.00
5125852.23	0.00
5125883.11	1.00
5125893.30	0.00
5125924.27	1.00
5126130.43	0.00
5126141.93	1.00
5126242.45	0.00
5126252.07	1.00
5126259.99	0.00
5126298.91	1.00
5126582.33	0.00
5126623.35	1.00
5126637.22	0.00
5126671.34	1.00
5126774.45	0.00
5126783.83	1.00
5126805.94	0.00
5126840.80	1.00
5126860.17	0.00
5126890.99	1.00
5126896.98	0.00
5126927.17	1.00
5127040.18	0.00
5127049.11	1.00
5127064.75	0.00
5127097.47	1.00
5127118.62	0.00
5127150.00	1.00
5127159.60	0.00
5127192.31	1.00
5127351.86	0.00
5127361.48	1.00
5127377.83	0.00
5127411.23	1.00
5127434.12	0.00
5127465.13	1.00
5127486.26	0.00
5127515.10	1.00
5127575.43	0.00
5127609.98	1.00
5127625.01	0.00
5127654.33	1.00
5127667.70	0.00
5127698.99	1.00
5127711.93	0.00
5127741.95	1.00
5127953.98	0.00
5127964.21	1.00
5129004.05	0.00
5129014.83	1.00
5129027.61	0.00
5129067.82	1.00
5129172.11	0.00
5129181.27	1.00
5129193.40	0.00
5129233.56	1.00
5129634.08	0.00
5129644.76	1.00
5129652.66	0.00
5129703.77	1.00
5129710.29	0.00
5129740.94	1.00
5129879.50	0.00
5129884.82	1.00
5129963.41	0.00
5129973.04	1.00
5129985.98	0.00
5130026.62	1.00
5130121.44	0.00
5130130.36	1.00
5130136.37	0.00
5130181.92	1.00
5130317.04	0.00
5130365.74	1.00
5130373.84	0.00
5130405.81	1.00
5130559.24	0.00
5130569.25	1.00
5130674.21	0.00
5130712.59	1.00
5130724.21	0.00
5130754.50	1.00
5130872.52	0.00
5130881.73	1.00
5130900.94	0.00
5130929.63	1.00
5130952.04	0.00
5130984.65	1.00
5131092.83	0.00
5131100.29	1.00
5131102.22	0.00
5131113.59	1.00
5131120.34	0.00
5131156.42	1.00
5131304.95	0.00
5131314.83	1.00
5131320.84	0.00
5131344.79	1.00
5131346.84	0.00
5131358.85	1.00
5131368.66	0.00
5131403.19	1.00
5131512.71	0.00
5131517.11	1.00
5131535.86	0.00
5131592.97	1.00
5131606.04	0.00
5131637.29	1.00
5131823.95	0.00
5131833.97	1.00
5131849.65	0.00
5131883.12	1.00
5131926.08	0.00
5131958.90	1.00
5131968.32	0.00
5131998.60	1.00
5132200.98	0.00
5132211.30	1.00
5132227.07	0.00
5132268.99	1.00
5132293.81	0.00
5132325.88	1.00
5132331.39	0.00
5132364.80	1.00
5132583.42	0.00
5132593.88	1.00
5132717.22	0.00
5132763.27	1.00
5132771.79	0.00
5132804.92	1.00
5132916.86	0.00
5132925.92	1.00
5132933.01	0.00
5132972.24	1.00
5133169.06	0.00
5133179.56	1.00
5133202.06	0.00
5133266.67	1.00
5133285.87	0.00
5133318.66	1.00
5133326.00	0.00
5133356.37	1.00
5133447.88	0.00
5133489.76	1.00
5133502.75	0.00
5133533.19	1.00
5133551.43	0.00
5133581.45	1.00
5133590.99	0.00
5133619.51	1.00
5133635.93	0.00
5133662.96	1.00
5133690.58	0.00
5133736.25	1.00
5134877.80	0.00
5134944.98	1.00
5134947.24	0.00
5134960.63	1.00
5134973.30	0.00
5135009.90	1.00
5135129.08	0.00
5135183.85	1.00
5135185.47	0.00
5135203.14	1.00
5135214.66	0.00
5135252.84	1.00
5135651.04	0.00
5135674.52	1.00
5135676.32	0.00
5135692.01	1.00
5135697.72	0.00
5135730.03	1.00
5135821.26	0.00
5135857.98	1.00
5135859.48	0.00
5135876.75	1.00
5135882.14	0.00
5135921.24	1.00
5136012.80	0.00
5136050.36	1.00
5136051.85	0.00
5136071.41	1.00
5136076.84	0.00
5136109.96	1.00
5136271.88	0.00
5136320.38	1.00
5136355.66	0.00
5136386.06	1.00
5136492.85	0.00
5136525.17	1.00
5136564.68	0.00
5136593.64	1.00
5136635.78	0.00
5136663.52	1.00
5136740.07	0.00
5136770.62	1.00
5136864.76	0.00
5136874.63	1.00
5136909.11	0.00
5136941.84	1.00
5137005.88	0.00
5137014.11	1.00
5137040.36	0.00
5137072.36	1.00
5137140.84	0.00
5137148.63	1.00
5137180.04	0.00
5137221.87	1.00
5137279.32	0.00
5137287.37	1.00
5137607.27	0.00
5137655.09	1.00
5137686.99	0.00
5137721.87	1.00
5137795.65	0.00
5137803.89	1.00
5137827.95	0.00
5137861.50	1.00
5137916.60	0.00
5137924.12	1.00
5137947.62	0.00
5137980.09	1.00
5138033.30	0.00
5138040.79	1.00
5138063.29	0.00
5138096.77	1.00
5138148.54	0.00
5138161.77	1.00
5138185.08	0.00
5138219.34	1.00
5139318.12	0.00
5139337.04	1.00
5139338.94	0.00
5139357.30	1.00
5139363.51	0.00
5139408.29	1.00
5139524.85	0.00
5139575.42	1.00
5139577.23	0.00
5139609.20	1.00
5139615.20	0.00
5139651.69	1.00
5139781.50	0.00
5139842.40	1.00
5139845.19	0.00
5139862.42	1.00
5139875.87	0.00
5139909.63	1.00
5140007.47	0.00
5140059.04	1.00
5140060.54	0.00
5140081.74	1.00
5140090.66	0.00
5140126.85	1.00
5140242.73	0.00
5140259.46	1.00
5140266.82	0.00
5140300.95	1.00
5140409.16	0.00
5140454.86	1.00
5140456.55	0.00
5140476.48	1.00
5140486.86	0.00
5140519.65	1.00
5140779.28	0.00
5140846.43	1.00
5140848.17	0.00
5140865.92	1.00
5140878.08	0.00
5140912.17	1.00
5141088.06	0.00
5141138.39	1.00
5141140.04	0.00
5141163.82	1.00
5141175.53	0.00
5141213.44	1.00
5141311.54	0.00
5141334.73	1.00
5141342.45	0.00
5141375.86	1.00
5141487.62	0.00
5141526.71	1.00
5141528.46	0.00
5141548.29	1.00
5141557.50	0.00
5141591.88	1.00
5141806.96	0.00
5141870.16	1.00
5141871.86	0.00
5141890.44	1.00
5141903.76	0.00
5141937.79	1.00
5142120.92	0.00
5142171.00	1.00
5142172.63	0.00
5142191.69	1.00
5142202.54	0.00
5142236.38	1.00
5142343.83	0.00
5142388.23	1.00
5142389.81	0.00
5142409.16	1.00
5142420.32	0.00
5142453.51	1.00
5142657.08	0.00
5142706.07	1.00
5142707.78	0.00
5142726.88	1.00
5142738.36	0.00
5142771.88	1.00
5142986.49	0.00
5143006.78	1.00
5143015.06	0.00
5143061.02	1.00
5143167.08	0.00
5143176.22	1.00
5143178.88	0.00
5143201.30	1.00
5143209.99	0.00
5143242.46	1.00
5143420.17	0.00
5143448.03	1.00
5143449.78	0.00
5143461.70	1.00
5143470.51	0.00
5143503.25	1.00
5143699.36	0.00
5143720.45	1.00
5143728.50	0.00
5143763.19	1.00
5143932.01	0.00
5143948.92	1.00
5143956.96	0.00
5143991.10	1.00
5144144.48	0.00
5144156.77	1.00
