time	count
0.00	0.00
17582.72	0.12
17598.59	0.00
17676.22	0.12
17676.78	0.00
17927.89	0.12
17975.97	0.25
18010.50	0.12
36325.06	0.25
36352.62	0.12
36380.75	0.25
36432.39	0.12
36545.63	0.00
36572.09	0.12
36577.37	0.00
36618.66	0.12
36623.32	0.00
36744.72	0.12
36745.48	0.00
36768.63	0.12
36773.32	0.00
36790.21	0.12
36792.45	0.00
36811.20	0.12
36811.88	0.00
36837.22	0.12
36838.73	0.00
36857.29	0.12
36858.18	0.00
36880.60	0.12
36889.77	0.00
36902.17	0.12
36902.60	0.00
36923.47	0.12
36924.55	0.00
36952.22	0.12
36952.70	0.00
36978.90	0.12
36979.33	0.00
37084.69	0.12
37085.10	0.00
37110.01	0.12
37110.64	0.00
37673.42	0.12
37676.01	0.00
37856.93	0.12
37857.08	0.00
38243.39	0.12
38275.03	0.25
38286.66	0.12
38311.09	0.25
38311.85	0.12
39574.57	0.25
39575.18	0.12
39593.49	0.25
39593.94	0.12
39756.07	0.25
39761.05	0.12
39779.94	0.25
39799.07	0.38
39912.14	0.25
39925.99	0.12
17450481.76	0.00
17450550.75	0.12
17450568.48	0.00
17450932.08	0.12
17450939.15	0.00
20935799.60	0.12
20935805.44	0.00
20935854.32	0.12
20935865.58	0.00
21244156.46	0.12
21244163.60	0.00
21440074.68	0.12
21440107.77	0.00
21670635.05	0.12
21670638.59	0.00
21812277.58	0.12
21812287.60	0.00
21987507.13	0.12
21987511.18	0.00
22124226.91	0.12
22124230.51	0.00
22190778.22	0.12
22190786.00	0.00
22233553.22	0.12
22233556.38	0.00
34905454.00	0.12
34905474.77	0.25
34905477.89	0.12
34905619.25	0.00
34936746.09	0.12
34936752.16	0.00
34962052.79	0.12
34962083.73	0.00
34987882.80	0.12
34987886.40	0.00
35006282.58	0.12
35006285.10	0.00
35031540.24	0.12
35031543.11	0.00
35049077.63	0.12
35049080.62	0.00
35066208.81	0.12
35066236.22	0.00
35076652.55	0.12
35076654.18	0.00
35079572.30	0.12
35079575.03	0.00
35079578.29	0.12
35079578.78	0.00
35079635.66	0.12
35079636.24	0.00
35081845.42	0.12
35081849.92	0.00
35081885.58	0.12
35081896.46	0.25
35081897.99	0.12
35081938.33	0.00
35081952.76	0.12
35081962.64	0.00
35082014.99	0.12
35082037.33	0.25
35082038.54	0.12
35082167.63	0.25
35082169.80	0.12
35082204.96	0.25
35082212.52	0.12
35082239.22	0.25
35082240.53	0.12
35082269.55	0.25
35082282.27	0.38
35082290.66	0.25
35082293.82	0.12
35082306.92	0.25
35082310.42	0.12
35082324.73	0.00
35082411.82	0.12
35082413.24	0.00
35082437.07	0.12
35082437.78	0.00
35082461.99	0.12
35082462.43	0.00
35082524.25	0.12
35082532.76	0.00
35082550.51	0.12
35082551.19	0.00
35082574.88	0.12
35082575.27	0.00
35082806.32	0.12
35082806.74	0.00
35082831.53	0.12
35082831.92	0.00
35082854.15	0.12
35082854.63	0.00
35082878.00	0.12
35082879.02	0.00
35082900.03	0.12
35082904.48	0.00
35082928.47	0.12
35082928.81	0.00
35082951.55	0.12
35082952.05	0.00
35082974.12	0.12
35082974.56	0.00
35082997.21	0.12
35082997.55	0.00
35083029.59	0.12
35083041.97	0.00
35083051.59	0.12
35083052.56	0.00
35083056.43	0.12
35083061.57	0.00
35083122.23	0.12
35083126.85	0.00
35083147.95	0.12
35083157.86	0.25
35083160.00	0.12
35083166.26	0.00
35113126.67	0.12
35113127.33	0.00
35143648.09	0.12
35143649.37	0.00
35144572.05	0.12
35144572.47	0.00
35145110.51	0.12
35145114.21	0.00
35145148.65	0.12
35145150.54	0.00
35145336.59	0.12
35145337.29	0.00
35145383.52	0.12
35145384.12	0.00
35145421.22	0.12
35145423.28	0.00
35145459.32	0.12
35145459.96	0.00
35145477.34	0.12
35145478.12	0.00
35145503.57	0.12
35145504.15	0.00
35145521.52	0.12
35145522.76	0.00
35145567.50	0.12
35145567.64	0.00
35145605.64	0.12
35145605.81	0.00
35145733.37	0.12
35145733.74	0.00
35145770.97	0.12
35145809.34	0.25
35145848.26	0.38
35145851.09	0.25
35145928.91	0.12
35145975.98	0.25
35145985.71	0.12
35146008.04	0.25
35146008.98	0.12
35146044.89	0.25
35146057.98	0.38
35146058.57	0.25
35146069.82	0.38
35146071.28	0.25
35146073.96	0.12
35146083.01	0.25
35146094.19	0.38
35146094.18	0.25
35146095.08	0.12
35146119.26	0.25
35146119.74	0.12
35146141.00	0.25
35146146.94	0.12
35146204.03	0.25
35146204.20	0.12
35146286.50	0.25
35146287.02	0.12
35146355.42	0.25
35146355.92	0.12
35146376.22	0.25
35146377.04	0.12
35146390.88	0.25
35146396.32	0.12
35146426.48	0.25
