level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3			36608.045	36612.472	#d600ff	1.0	Equal Partition	3					1120
3			17450658.462	20935634.426	#00ff69	1.0	Partition by Preimage	5					4487
3			20935746.213	34905284.543	#00ff69	1.0	Partition by Image	6					4066
3			35079442.629	35113110.495	#00ff03	1.0	Intersection Reduction	1					1121
3			35145558.808	35145560.194	#ff0071	1.0	Difference	21					1122
3			35145592.064	35145592.268	#ff0071	1.0	Difference	21					1123
3			35146109.119	35146109.699	#ff0071	1.0	Difference	25					4067
3			35146132.902	35146133.107	#ff0071	1.0	Difference	25					3435
3			35146193.875	35146194.178	#ff0071	1.0	Intersection Reduction	25					4068
3			35146291.354	35214429.193	#ff0071	1.0	Intersection Reduction	25					2963
2			35146505.768	35146506.103	#ff0071	1.0	Difference	26					4069
2			35146528.283	35146528.531	#ff0071	1.0	Difference	26					4488
2			35146576.677	35146577.026	#ff0071	1.0	Intersection Reduction	26					4070
2			35146597.027	35146597.303	#ff0071	1.0	Intersection Reduction	26					3436
2			35146631.252	35212928.479	#ff0071	1.0	Intersection Reduction	26					2962
1			35146867.207	35146867.492	#ff0071	1.0	Difference	27					4489
1			35146890.593	35146890.804	#ff0071	1.0	Difference	27					4490
1			35146942.572	35146942.871	#ff0071	1.0	Intersection Reduction	27					4491
1			35146964.042	35146964.245	#ff0071	1.0	Intersection Reduction	27					4492
1			35146984.365	35146984.61	#ff0071	1.0	Intersection Reduction	27					4071
1			35147267.978	35147268.29	#ff0071	1.0	Difference	28					4493
1			35147292.107	35147292.311	#ff0071	1.0	Difference	28					4494
1			35147350.291	35147350.566	#ff0071	1.0	Intersection Reduction	28					4495
1			35147370.9	35147371.144	#ff0071	1.0	Intersection Reduction	28					4496
1			35147392.582	35147392.795	#ff0071	1.0	Intersection Reduction	28					4497
1			35147413.357	35147413.528	#ff0071	1.0	Intersection Reduction	28					4498
1			35147726.607	35147726.897	#ff0071	1.0	Difference	29					4499
1			35147750.405	35147750.774	#ff0071	1.0	Difference	29					4500
1			35147805.006	35147805.317	#ff0071	1.0	Intersection Reduction	29					4501
1			35147826.113	35147826.544	#ff0071	1.0	Intersection Reduction	29					4502
1			35147846.641	35147846.834	#ff0071	1.0	Intersection Reduction	29					4503
1			35147867.881	35147868.43	#ff0071	1.0	Intersection Reduction	29					4504
1			35147888.596	35147888.837	#ff0071	1.0	Intersection Reduction	29					4505
1			35148209.106	35148209.408	#ff0071	1.0	Difference	30					4506
1			35148232.827	35148233.098	#ff0071	1.0	Difference	30					4072
1			35148290.908	35148291.181	#ff0071	1.0	Intersection Reduction	30					4507
1			35148311.369	35148311.585	#ff0071	1.0	Intersection Reduction	30					4073
1			35148330.723	35148330.933	#ff0071	1.0	Intersection Reduction	30					4508
1			35148353.781	35148354.059	#ff0071	1.0	Intersection Reduction	30					4509
1			35148374.19	35148374.366	#ff0071	1.0	Intersection Reduction	30					4510
1			35148395.902	35148396.302	#ff0071	1.0	Intersection Reduction	30					4511
1			35149137.989	35149138.456	#ff0071	1.0	Difference	31					4512
1			35149164.178	35149164.402	#ff0071	1.0	Difference	31					4074
1			35149213.699	35149214.023	#ff0071	1.0	Intersection Reduction	31					4513
1			35149233.841	35149234.008	#ff0071	1.0	Intersection Reduction	31					4075
1			35149253.004	35149253.237	#ff0071	1.0	Intersection Reduction	31					3437
1			35149272.483	35149272.639	#ff0071	1.0	Intersection Reduction	31					4514
1			35149299.317	35149299.473	#ff0071	1.0	Intersection Reduction	31					4515
1			35149321.436	35149321.628	#ff0071	1.0	Intersection Reduction	31					4516
1			35149352.327	35149352.729	#ff0071	1.0	Intersection Reduction	31					4517
2			35212978.728	35258394.865	#ff0071	1.0	Intersection Reduction	27					4077
3			35214472.176	35236660.942	#ff0071	1.0	Intersection Reduction	28					4518
3			35236698.656	35256654.007	#ff0071	1.0	Intersection Reduction	29					4076
3			35256688.414	35262567.367	#ff0071	1.0	Intersection Reduction	30					4078
2			35258426.342	35262615.348	#ff0071	1.0	Intersection Reduction	31					4079
3			35262836.993	35268658.33	#ff0071	1.0	Intersection Reduction	26					3910
3			35268913.853	35328844.113	#ff0071	1.0	Intersection Reduction	25					4851
3			35329057.777	35333260.372	#ff0071	1.0	Intersection Reduction	25					4768
3			35333515.549	35355206.375	#ff0071	1.0	Intersection Reduction	28					3438
3			35355437.85	35378545.665	#ff0071	1.0	Intersection Reduction	28					4852
3			35378748.897	35390893.304	#ff0071	1.0	Intersection Reduction	28					3439
3			35391114.168	35411373.463	#ff0071	1.0	Intersection Reduction	29					3440
3			35411605.337	35441026.695	#ff0071	1.0	Intersection Reduction	29					4349
3			35441235.642	35462495.275	#ff0071	1.0	Intersection Reduction	29					4080
3			35462722.691	35473991.474	#ff0071	1.0	Intersection Reduction	29					4350
3			35474224.167	35496487.854	#ff0071	1.0	Intersection Reduction	27					3441
3			35496656.614	35537845.064	#ff0071	1.0	Intersection Reduction	27					4351
3			35537990.916	35561906.295	#ff0071	1.0	Intersection Reduction	27					3442
3			35562117.478	35601814.058	#ff0071	1.0	Intersection Reduction	27					4769
3			35602023.911	35607926.624	#ff0071	1.0	Intersection Reduction	27					4770
3			35608194.064	35623570.106	#ff0071	1.0	Intersection Reduction	30					3443
3			35623725.798	35629690.84	#ff0071	1.0	Intersection Reduction	30					3444
3			35629888.024	35648622.068	#ff0071	1.0	Intersection Reduction	30					3445
3			35648825.613	35656488.436	#ff0071	1.0	Intersection Reduction	30					3446
3			35656646.532	35664136.271	#ff0071	1.0	Intersection Reduction	30					3447
3			35664336.689	35675752.705	#ff0071	1.0	Intersection Reduction	30					3448
3			35677560.521	35677561.212	#ffec00	1.0	Intersection Reduction	22					2964
3			35677569.959	35677570.231	#ffec00	1.0	Intersection Reduction	22					2965
3			35677581.36	35677581.604	#ffec00	1.0	Intersection Reduction	22					2966
3			35677584.681	35677584.823	#ffec00	1.0	Intersection Reduction	22					2967
3			35677587.543	35677587.789	#ffec00	1.0	Intersection Reduction	22					2968
3			35677590.438	35677590.579	#ffec00	1.0	Intersection Reduction	22					2969
3			35677593.435	35677593.694	#ffec00	1.0	Intersection Reduction	22					2970
3			35677596.834	35677596.978	#ffec00	1.0	Intersection Reduction	22					2971
3			35677725.834	35677768.976	#ffec00	1.0	Union Reduction	22					2972
