level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
8			38584959.074	38587691.252	#ff0071	1.0	Fill	68					4486
7			38585240.675	38588218.848	#ff0071	1.0	Fill	69					2941
6			38585462.285	38590523.587	#ff0071	1.0	Fill	70					1089
5			38585680.364	38590952.917	#ff0071	1.0	Fill	71					2942
4			38585894.371	38593298.281	#ff0071	1.0	Fill	72					1090
3			38586115.493	38593832.987	#ff0071	1.0	Fill	73					2943
2			38586328.645	38596001.602	#ff0071	1.0	Fill	74					1091
1			38586545.872	38596680.663	#ff0071	1.0	Fill	75					2944
8			42331960.754	42334786.111	#ff0071	1.0	Fill	109					3433
7			42332203.533	42335106.013	#ff0071	1.0	Fill	113					2945
6			42332431.041	42337829.196	#ff0071	1.0	Fill	114					1092
5			42332649.722	42337923.833	#ff0071	1.0	Fill	115					2946
4			42332868.7	42340767.121	#ff0071	1.0	Fill	116					3434
3			42333094.15	42340723.838	#ff0071	1.0	Fill	117					1093
2			42333310.99	42343568.922	#ff0071	1.0	Fill	118					1094
1			42333528.418	42343570.453	#ff0071	1.0	Fill	119					1095
8			46071701.911	46074520.759	#ff0071	1.0	Fill	153					1096
7			46071939.069	46075105.207	#ff0071	1.0	Fill	157					2947
6			46072174.478	46077726.404	#ff0071	1.0	Fill	158					1097
5			46072397.813	46078183.531	#ff0071	1.0	Fill	159					2948
4			46072624.891	46080641.593	#ff0071	1.0	Fill	160					1098
3			46072846.724	46081007.12	#ff0071	1.0	Fill	161					2949
2			46073072.821	46083281.58	#ff0071	1.0	Fill	162					1099
1			46073296.397	46083618.711	#ff0071	1.0	Fill	163					2950
8			49549280.227	49552025.382	#ff0071	1.0	Fill	200					1100
7			49549516.693	49552461.993	#ff0071	1.0	Fill	201					2951
6			49549740.521	49555184.144	#ff0071	1.0	Fill	202					1101
5			49549962.715	49555344.36	#ff0071	1.0	Fill	203					2952
4			49550189.619	49557952.947	#ff0071	1.0	Fill	204					1102
3			49550409.078	49558098.937	#ff0071	1.0	Fill	205					2953
2			49550623.557	49560674.8	#ff0071	1.0	Fill	206					1103
1			49550843.0	49561004.479	#ff0071	1.0	Fill	207					2954
8			53068709.603	53071575.62	#ff0071	1.0	Fill	241					3908
7			53068955.364	53071892.159	#ff0071	1.0	Fill	245					2955
6			53069187.201	53074552.474	#ff0071	1.0	Fill	246					1104
5			53069412.462	53075820.872	#ff0071	1.0	Fill	247					1105
4			53069633.555	53077933.673	#ff0071	1.0	Fill	248					1106
3			53069852.73	53078652.672	#ff0071	1.0	Fill	249					2956
2			53070079.289	53080727.998	#ff0071	1.0	Fill	250					1107
1			53070309.646	53081243.261	#ff0071	1.0	Fill	251					2957
8			56583685.094	56586534.303	#ff0071	1.0	Fill	285					3909
7			56583923.044	56587056.766	#ff0071	1.0	Fill	289					2958
6			56584165.517	56589767.145	#ff0071	1.0	Fill	290					1108
5			56584402.578	56590162.291	#ff0071	1.0	Fill	291					2959
4			56584640.962	56593091.749	#ff0071	1.0	Fill	292					1109
3			56584867.554	56593531.213	#ff0071	1.0	Fill	293					2960
2			56585106.884	56595941.07	#ff0071	1.0	Fill	294					1110
1			56585321.447	56596200.465	#ff0071	1.0	Fill	295					2961
