op_id	desc	proc	level
0	Operation <0>		
1	toplevel [primary] <1>	CPU Processor 0x1d00000000000001	2
3	Pending Partition Operation <3>		
4	initialize_graph [primary] <4>	CPU Processor 0x1d00000000000001	3
5	Dependent Partition Operation <5>		
6	Dependent Partition Operation <6>		
7	Pending Partition Operation <7>		
8	Pending Partition Operation <8>		
9	Fill Operation <9>		
10	Fence Operation <10>		
11	__unary_bool_not [primary] <11>	CPU Processor 0x1d00000000000001	3
12	__binary_int32_int32_+ [primary] <12>	CPU Processor 0x1d00000000000002	2
13	update_ranks <13>		
14	final_ranks <14>		
15	__binary_int32_uint32_>= [primary] <15>	CPU Processor 0x1d00000000000001	3
16	Merge Close Operation <16>		
17	update_ranks <17>		
18	update_ranks <18>		
19	update_ranks <19>		
20	update_ranks <20>		
21	update_ranks <21>		
22	update_ranks <22>		
23	update_ranks <23>		
24	update_ranks <24>		
25	update_ranks [primary] <25>	CPU Processor 0x1d00000000000001	3
26	l2_norm [primary] <26>	CPU Processor 0x1d00000000000003	2
27	__binary_double_double_< [primary] <27>	CPU Processor 0x1d00000000000001	3
28	Merge Close Operation <28>		
29	update_ranks [primary] <29>	CPU Processor 0x1d00000000000008	2
30	update_ranks [primary] <30>	CPU Processor 0x1d00000000000002	2
31	update_ranks [primary] <31>	CPU Processor 0x1d00000000000005	2
32	update_ranks [primary] <32>	CPU Processor 0x1d00000000000007	2
33	update_ranks [primary] <33>	CPU Processor 0x1d00000000000003	2
34	update_ranks [primary] <34>	CPU Processor 0x1d00000000000006	2
35	update_ranks [primary] <35>	CPU Processor 0x1d00000000000004	2
36	final_ranks <36>		
37	final_ranks <37>		
38	final_ranks <38>		
39	final_ranks <39>		
40	final_ranks <40>		
41	final_ranks <41>		
42	final_ranks <42>		
43	final_ranks <43>		
44	final_ranks [primary] <44>	CPU Processor 0x1d00000000000002	2
45	final_ranks [primary] <45>	CPU Processor 0x1d00000000000004	2
46	final_ranks [primary] <46>	CPU Processor 0x1d00000000000001	3
47	final_ranks [primary] <47>	CPU Processor 0x1d00000000000006	2
48	final_ranks [primary] <48>	CPU Processor 0x1d00000000000005	2
49	final_ranks [primary] <49>	CPU Processor 0x1d00000000000008	2
50	final_ranks [primary] <50>	CPU Processor 0x1d00000000000003	2
51	final_ranks [primary] <51>	CPU Processor 0x1d00000000000007	2
52	Fill Operation <52>		
53	Fill Operation <53>		
54	Copy Operation <54>		
55	Merge Close Operation <55>		
56	__unary_bool_not [primary] <56>	CPU Processor 0x1d00000000000001	3
57	Merge Close Operation <57>		
58	__binary_int32_int32_+ [primary] <58>	CPU Processor 0x1d00000000000001	3
59	update_ranks <59>		
60	final_ranks <60>		
61	__binary_int32_uint32_>= [primary] <61>	CPU Processor 0x1d00000000000001	3
62	Merge Close Operation <62>		
63	update_ranks <63>		
64	update_ranks <64>		
65	update_ranks <65>		
66	update_ranks <66>		
67	update_ranks <67>		
68	update_ranks <68>		
69	update_ranks <69>		
70	update_ranks <70>		
71	l2_norm [primary] <71>	CPU Processor 0x1d00000000000002	2
72	__binary_double_double_< [primary] <72>	CPU Processor 0x1d00000000000002	2
73	Merge Close Operation <73>		
74	update_ranks [primary] <74>	CPU Processor 0x1d00000000000007	2
75	update_ranks [primary] <75>	CPU Processor 0x1d00000000000001	3
76	update_ranks [primary] <76>	CPU Processor 0x1d00000000000002	2
77	update_ranks [primary] <77>	CPU Processor 0x1d00000000000003	2
78	update_ranks [primary] <78>	CPU Processor 0x1d00000000000005	2
79	update_ranks [primary] <79>	CPU Processor 0x1d00000000000008	2
80	update_ranks [primary] <80>	CPU Processor 0x1d00000000000004	2
81	update_ranks [primary] <81>	CPU Processor 0x1d00000000000006	2
82	final_ranks <82>		
83	final_ranks <83>		
84	final_ranks <84>		
85	final_ranks <85>		
86	final_ranks <86>		
87	final_ranks <87>		
88	final_ranks <88>		
