time	count
0.00	0.00
16903.72	1.00
17121.71	0.00
17160.15	1.00
17260.60	0.00
17284.10	1.00
17690.82	0.00
19633.08	1.00
19666.88	0.00
19700.25	1.00
19718.47	0.00
19728.00	1.00
19940.82	0.00
19961.40	1.00
19967.72	0.00
19988.19	1.00
19989.78	0.00
20008.93	1.00
20009.68	0.00
20027.01	1.00
20027.89	0.00
20044.57	1.00
20045.36	0.00
20059.61	1.00
20060.52	0.00
20077.53	1.00
20078.31	0.00
20093.31	1.00
20094.40	0.00
20115.11	1.00
20370.49	0.00
20394.20	1.00
20402.26	0.00
20423.17	1.00
20430.60	0.00
20456.17	1.00
20481.02	0.00
20504.33	1.00
20508.87	0.00
20531.48	1.00
21701.51	0.00
21724.25	1.00
21732.40	0.00
21751.79	1.00
23092.48	0.00
23112.13	1.00
23116.01	0.00
23124.66	1.00
23262.30	0.00
23281.97	1.00
23283.91	0.00
23301.72	1.00
23310.35	0.00
23327.60	1.00
23353.92	0.00
23373.39	1.00
23459.55	0.00
23484.65	1.00
23485.84	0.00
23503.24	1.00
23503.92	0.00
23524.70	1.00
23525.30	0.00
23543.91	1.00
23544.49	0.00
23564.04	1.00
23564.76	0.00
23583.09	1.00
23583.69	0.00
23608.95	1.00
23609.66	0.00
23627.62	1.00
23628.46	0.00
23647.48	1.00
23723.89	0.00
23742.64	1.00
23743.19	0.00
23762.44	1.00
23763.01	0.00
23780.88	1.00
23781.34	0.00
23800.99	1.00
23801.72	0.00
23819.29	1.00
23819.76	0.00
23839.58	1.00
23840.22	0.00
23860.42	1.00
23860.99	0.00
23879.74	1.00
23880.69	0.00
23897.86	1.00
23945.98	0.00
23964.91	1.00
23966.79	0.00
23985.67	1.00
23991.34	0.00
16686329.44	1.00
16686368.93	0.00
16686462.28	1.00
16686755.71	0.00
30229581.76	1.00
30229688.00	0.00
30229706.34	1.00
30248942.53	0.00
30248974.12	1.00
30269718.70	0.00
30269749.85	1.00
30278613.10	0.00
30278638.83	1.00
30294329.04	0.00
30294355.15	1.00
30309284.68	0.00
30309310.28	1.00
30314055.92	0.00
30314079.04	1.00
30332679.80	0.00
30332705.57	1.00
30348166.43	0.00
30348192.61	1.00
30350209.53	0.00
30350239.33	1.00
30350250.17	0.00
30350258.46	1.00
30376188.21	0.00
30376214.78	1.00
30397450.14	0.00
30397481.96	1.00
30410087.42	0.00
30410113.30	1.00
30426225.18	0.00
30426249.41	1.00
30440736.38	0.00
30440760.86	1.00
30445532.62	0.00
30445555.02	1.00
30460421.66	0.00
30460445.89	1.00
30476960.34	0.00
30476984.41	1.00
30479302.98	0.00
30479323.51	1.00
30479758.93	0.00
30479788.38	1.00
30480140.89	0.00
30480170.20	1.00
30480175.61	0.00
30480207.12	1.00
30480230.33	0.00
30480251.29	1.00
30480254.53	0.00
30480276.68	1.00
30480301.47	0.00
30480324.95	1.00
30480391.65	0.00
30480415.38	1.00
30480449.77	0.00
30480469.79	1.00
30480481.12	0.00
30480501.73	1.00
30480557.63	0.00
30480606.82	1.00
30480610.26	0.00
30480635.46	1.00
30480667.10	0.00
30480691.45	1.00
30480711.70	0.00
30480731.53	1.00
30480737.52	0.00
30480754.88	1.00
30480761.80	0.00
30480779.27	1.00
30480809.59	0.00
30480883.83	1.00
30480889.38	0.00
30480901.05	1.00
30480910.72	0.00
30480954.18	1.00
30481076.09	0.00
30481100.95	1.00
30481105.44	0.00
30481126.42	1.00
30481272.11	0.00
30481294.39	1.00
30481301.17	0.00
30481322.15	1.00
30481327.89	0.00
30481347.37	1.00
30481541.28	0.00
30481563.75	1.00
30481568.43	0.00
30481588.91	1.00
30481592.30	0.00
30481619.52	1.00
30481623.05	0.00
30481642.79	1.00
30481645.70	0.00
30481666.04	1.00
30481669.98	0.00
30481690.43	1.00
30481710.09	0.00
30481731.45	1.00
30481735.15	0.00
30481756.50	1.00
30481761.37	0.00
30481783.42	1.00
30481822.33	0.00
30481838.74	1.00
30481905.87	0.00
30481930.81	1.00
30481951.42	0.00
30481973.60	1.00
30482088.19	0.00
30482112.77	1.00
30482156.46	0.00
30482195.50	1.00
30482218.48	0.00
30482243.66	1.00
30482249.92	0.00
30482271.79	1.00
30482275.87	0.00
30482297.11	1.00
30482298.36	0.00
30482318.96	1.00
30482320.46	0.00
30482342.00	1.00
30482342.85	0.00
30482363.06	1.00
30482714.58	0.00
30482737.53	1.00
30482940.46	0.00
30482970.80	1.00
30482989.07	0.00
30483009.73	1.00
30483017.26	0.00
30483038.59	1.00
30483051.27	0.00
30483073.83	1.00
30483090.45	0.00
30483111.60	1.00
30483135.41	0.00
30483156.62	1.00
30483206.82	0.00
30483227.70	1.00
30483237.86	0.00
30483258.29	1.00
30483259.86	0.00
30483281.53	1.00
30483282.77	0.00
30483304.51	1.00
30483305.89	0.00
30483328.20	1.00
30483329.33	0.00
30483349.89	1.00
30483350.75	0.00
30483371.84	1.00
30483545.36	0.00
30483567.31	1.00
30483630.37	0.00
30483649.80	1.00
30483651.36	0.00
30483670.96	1.00
30483676.00	0.00
30483697.14	1.00
30483700.64	0.00
30483718.20	1.00
30484006.69	0.00
30484029.04	1.00
30484049.02	0.00
30484070.09	1.00
30484112.19	0.00
30484135.04	1.00
30484137.08	0.00
30484157.58	1.00
30484159.19	0.00
30484180.24	1.00
30484181.00	0.00
30484202.54	1.00
30484204.17	0.00
30484225.33	1.00
30484226.44	0.00
30484246.62	1.00
30484247.67	0.00
30484270.81	1.00
30484418.98	0.00
30484443.01	1.00
30484517.64	0.00
30484538.98	1.00
30484540.76	0.00
30484561.25	1.00
30484566.36	0.00
30484589.75	1.00
30484592.94	0.00
30484617.30	1.00
30484629.01	0.00
30484650.68	1.00
30484669.52	0.00
30484690.70	1.00
30484737.78	0.00
30484758.56	1.00
30484760.28	0.00
30484781.97	1.00
30484783.46	0.00
30484805.40	1.00
30484806.17	0.00
30484827.23	1.00
30484828.86	0.00
30484848.60	1.00
30484849.67	0.00
30484873.40	1.00
30484874.31	0.00
30484895.41	1.00
30485060.12	0.00
30485082.67	1.00
30485174.20	0.00
30485198.55	1.00
30485200.35	0.00
30485220.84	1.00
30485226.84	0.00
30485246.15	1.00
30485249.10	0.00
30485266.74	1.00
30485277.07	0.00
30485295.61	1.00
30485316.25	0.00
30485336.98	1.00
30485378.21	0.00
30485399.30	1.00
30485400.80	0.00
30485423.44	1.00
30485424.85	0.00
30485447.08	1.00
30485447.83	0.00
30485479.31	1.00
30485480.70	0.00
30485510.60	1.00
30485511.74	0.00
30485534.41	1.00
30485535.33	0.00
30485557.67	1.00
30485755.30	0.00
30485780.90	1.00
30485898.81	0.00
30485922.27	1.00
30485923.96	0.00
30485945.27	1.00
30485951.64	0.00
30485974.12	1.00
30485977.16	0.00
30485999.56	1.00
30486012.96	0.00
30486035.55	1.00
30486052.57	0.00
30486074.58	1.00
30486118.85	0.00
30486139.24	1.00
30486140.70	0.00
30486162.05	1.00
30486163.76	0.00
30486186.71	1.00
30486187.48	0.00
30486208.52	1.00
30486209.73	0.00
30486231.45	1.00
30486232.34	0.00
30486253.27	1.00
30486254.05	0.00
30486275.14	1.00
30486645.41	0.00
30486667.66	1.00
30486816.62	0.00
30486839.38	1.00
30486841.36	0.00
30486863.50	1.00
30486871.11	0.00
30486893.63	1.00
30486897.08	0.00
30486919.19	1.00
30486932.95	0.00
30486955.14	1.00
30486973.86	0.00
30486996.16	1.00
30487039.88	0.00
30487060.33	1.00
30487061.90	0.00
30487082.47	1.00
30487084.02	0.00
30487104.93	1.00
30487105.82	0.00
30487128.02	1.00
30487128.89	0.00
30487150.00	1.00
30487151.04	0.00
30487172.26	1.00
30487173.15	0.00
30487194.54	1.00
30487432.30	0.00
30487453.80	1.00
30487621.45	0.00
30487643.44	1.00
30487644.89	0.00
30487665.50	1.00
30487674.10	0.00
30487695.06	1.00
30487697.84	0.00
30487714.86	1.00
30487933.38	0.00
30487954.84	1.00
30487969.46	0.00
30487991.34	1.00
30488047.80	0.00
30488069.39	1.00
30488083.77	0.00
30488105.58	1.00
30488106.90	0.00
30488128.47	1.00
30488129.31	0.00
30488150.18	1.00
30488154.76	0.00
30488183.68	1.00
30488185.09	0.00
30488213.21	1.00
30488214.17	0.00
30488235.51	1.00
30488509.15	0.00
30488533.67	1.00
30488735.12	0.00
30488756.96	1.00
30488758.87	0.00
30488780.13	1.00
30488789.68	0.00
30488812.35	1.00
30488820.67	0.00
30488842.56	1.00
30488846.29	0.00
30488868.68	1.00
30489225.05	0.00
30489249.48	1.00
30489262.88	0.00
30489284.06	1.00
30489286.30	0.00
30489308.48	1.00
30489374.54	0.00
30489395.98	1.00
30489405.39	0.00
30489429.41	1.00
30489433.88	0.00
30489455.61	1.00
30489459.83	0.00
30489483.93	1.00
30489488.81	0.00
30489513.92	1.00
30489518.53	0.00
30489541.92	1.00
30489547.36	0.00
30489570.88	1.00
30489575.46	0.00
30489604.18	1.00
30489610.12	0.00
30489633.67	1.00
30489653.02	0.00
30489673.90	1.00
30489702.99	0.00
30489724.89	1.00
30489726.74	0.00
30489747.80	1.00
30489749.66	0.00
30489770.65	1.00
30489771.66	0.00
30489793.67	1.00
30490157.46	0.00
30490160.98	1.00
30490176.14	0.00
30490197.61	1.00
30490529.19	0.00
30490552.53	1.00
30490554.91	0.00
30490576.66	1.00
30490578.38	0.00
30490606.49	1.00
30490607.75	0.00
30490629.82	1.00
30490643.66	0.00
30490667.05	1.00
30490696.84	0.00
30490717.30	1.00
30490718.57	0.00
30490728.59	1.00
30490731.17	0.00
30490756.26	1.00
30490756.87	0.00
30490777.80	1.00
30490778.89	0.00
30490801.56	1.00
30490869.16	0.00
30490893.12	1.00
30491034.73	0.00
30491058.41	1.00
30491163.26	0.00
30491185.06	1.00
30491195.78	0.00
30491217.78	1.00
30491224.47	0.00
30491246.09	1.00
30491254.44	0.00
30491274.97	1.00
30491289.22	0.00
30491309.94	1.00
30491339.17	0.00
30491360.83	1.00
30491362.67	0.00
30491383.99	1.00
30491385.61	0.00
30491405.89	1.00
30491406.70	0.00
30491428.06	1.00
30491557.10	0.00
30491578.06	1.00
30491592.38	0.00
30491620.11	1.00
30491634.19	0.00
30491654.20	1.00
30491946.81	0.00
30491970.74	1.00
30491972.38	0.00
30491993.00	1.00
30491994.48	0.00
30492015.54	1.00
30492016.64	0.00
30492037.17	1.00
30492198.57	0.00
30492219.68	1.00
30492227.69	0.00
30492249.91	1.00
30492264.95	0.00
30492286.09	1.00
30492310.51	0.00
30492333.80	1.00
30492336.58	0.00
30492356.60	1.00
30492357.86	0.00
30492378.13	1.00
30492378.93	0.00
30492399.51	1.00
30492576.37	0.00
30492601.19	1.00
30492612.86	0.00
30492634.15	1.00
30492646.26	0.00
30492668.60	1.00
30492693.06	0.00
30492714.19	1.00
30492716.79	0.00
30492737.32	1.00
30492738.69	0.00
30492760.05	1.00
30492760.82	0.00
30492780.19	1.00
30493368.33	0.00
30493389.49	1.00
30493397.80	0.00
30493419.35	1.00
30493433.59	0.00
30493454.48	1.00
30493482.36	0.00
30493502.79	1.00
30493507.61	0.00
30493532.04	1.00
30493533.63	0.00
30493556.92	1.00
30493558.43	0.00
30493581.02	1.00
30493819.62	0.00
30493841.95	1.00
30493845.63	0.00
30493875.94	1.00
30493890.30	0.00
30493912.75	1.00
30493915.70	0.00
30493937.69	1.00
30493943.67	0.00
30493964.56	1.00
30493971.13	0.00
30493992.65	1.00
30494534.31	0.00
30494690.96	1.00
30494691.65	0.00
30494712.34	1.00
30494713.47	0.00
30494737.84	1.00
30494782.09	0.00
30494803.86	1.00
30494808.50	0.00
30494831.12	1.00
30494836.89	0.00
30494859.00	1.00
30494877.92	0.00
30497400.99	1.00
30497402.03	0.00
30497427.01	1.00
30497876.13	0.00
30497910.77	1.00
30498177.66	0.00
30498207.82	1.00
30498210.25	0.00
30503567.95	1.00
30503573.83	0.00
30524459.47	1.00
30524460.48	0.00
30539080.17	1.00
30539080.81	0.00
30545470.74	1.00
30545470.98	0.00
30559948.94	1.00
30559949.22	0.00
30566474.07	1.00
30566474.34	0.00
