time	count
0.00	0.00
17158.42	0.12
17205.38	0.00
17270.77	0.12
17271.40	0.00
17679.04	0.12
17702.87	0.25
17729.57	0.12
19675.94	0.25
19676.60	0.12
19726.52	0.25
19746.35	0.12
19780.33	0.25
19864.00	0.12
19950.13	0.25
19950.60	0.12
19977.00	0.25
19981.77	0.12
19998.36	0.25
19999.10	0.12
20016.38	0.25
20035.05	0.38
20035.57	0.25
20051.49	0.38
20061.80	0.25
20067.85	0.38
20068.64	0.25
20089.85	0.38
20090.48	0.25
20100.43	0.12
20101.95	0.25
20106.96	0.12
20187.66	0.00
20383.31	0.12
20385.17	0.00
20413.41	0.12
20414.66	0.00
20445.08	0.12
20445.85	0.00
20490.44	0.12
20491.01	0.00
20518.85	0.12
20519.99	0.00
21085.86	0.12
21091.05	0.00
21272.22	0.12
21272.51	0.00
21692.10	0.12
21708.03	0.25
21716.14	0.12
21741.41	0.25
21742.07	0.12
23102.24	0.25
23102.81	0.12
23123.66	0.25
23123.95	0.12
23270.87	0.25
23271.25	0.12
23291.71	0.25
23292.27	0.12
23318.22	0.25
23329.17	0.12
23362.71	0.25
23363.08	0.12
23473.21	0.25
23473.56	0.12
23490.65	0.25
23493.18	0.12
23510.97	0.25
23511.36	0.12
23528.58	0.25
23529.46	0.12
23548.06	0.25
23558.53	0.12
23572.27	0.25
23572.58	0.12
23588.15	0.25
23588.85	0.12
23616.74	0.25
23622.56	0.12
23631.60	0.25
23632.17	0.12
23656.55	0.25
23656.90	0.12
23731.00	0.25
23731.37	0.12
23746.54	0.25
23747.09	0.12
23769.93	0.25
23770.26	0.12
23784.68	0.25
23785.21	0.12
23808.35	0.25
23808.72	0.12
23822.99	0.25
23829.56	0.12
23845.16	0.25
23845.71	0.12
23863.50	0.25
23864.06	0.12
23887.00	0.25
23887.35	0.12
23953.21	0.25
23957.38	0.12
23974.56	0.25
23974.91	0.12
23997.88	0.25
23998.13	0.12
16686238.34	0.00
16686781.49	0.12
16686783.41	0.00
30229543.09	0.12
30229544.93	0.00
30239516.49	0.12
30239516.79	0.00
30239675.32	0.12
30239945.67	0.00
30248961.52	0.12
30248964.63	0.00
30269736.80	0.12
30269747.00	0.00
30278628.43	0.12
30278628.91	0.00
30294343.55	0.12
30294344.20	0.00
30309298.65	0.12
30309299.49	0.00
30314068.70	0.12
30314069.25	0.00
30332693.70	0.12
30332699.64	0.00
30348180.86	0.12
30348181.37	0.00
30362444.51	0.12
30362444.85	0.00
30376202.90	0.12
30376203.46	0.00
30397469.28	0.12
30397469.92	0.00
30410103.06	0.12
30410103.82	0.00
30426238.68	0.12
30426239.18	0.00
30440749.82	0.12
30440754.40	0.00
30445545.24	0.12
30445545.80	0.00
30460434.83	0.12
30460435.36	0.00
30476973.82	0.12
30476974.74	0.00
30479773.28	0.12
30479773.70	0.00
30480164.02	0.12
30480168.91	0.00
30480196.27	0.12
30480203.05	0.00
30480241.34	0.12
30480245.97	0.00
30480266.73	0.12
30480268.12	0.00
30480312.78	0.12
30480313.46	0.00
30480403.76	0.12
30480404.13	0.00
30480460.12	0.12
30480461.75	0.00
30480491.38	0.12
30480491.83	0.00
30480551.44	0.12
30480578.42	0.25
30480583.06	0.12
30480583.34	0.00
30480664.91	0.12
30480675.56	0.25
30480676.05	0.12
30480719.01	0.25
30480719.31	0.12
30480744.41	0.25
30480750.85	0.12
30480768.79	0.25
30480769.23	0.12
30480800.40	0.25
30480835.07	0.38
30480841.69	0.25
30480868.43	0.12
30480919.00	0.25
30480922.79	0.12
30480996.21	0.00
30481088.36	0.12
30481089.37	0.00
30481116.66	0.12
30481118.03	0.00
30481283.74	0.12
30481285.13	0.00
30481311.04	0.12
30481311.87	0.00
30481337.86	0.12
30481338.27	0.00
30481551.47	0.12
30481552.91	0.00
30481578.09	0.12
30481578.61	0.00
30481608.67	0.12
30481609.04	0.00
30481631.76	0.12
30481638.47	0.00
30481656.09	0.12
30481657.37	0.00
30481681.11	0.12
30481689.16	0.00
30481721.51	0.12
30481721.92	0.00
30481746.21	0.12
30481746.78	0.00
30481772.72	0.12
30481773.30	0.00
30481813.77	0.12
30481825.13	0.00
30481826.72	0.12
30481827.54	0.00
30481831.24	0.12
30481834.44	0.00
30481918.36	0.12
30481919.22	0.00
30481957.46	0.12
30481959.74	0.25
30481960.27	0.12
30481988.19	0.00
30482099.97	0.12
30482100.61	0.00
30482169.17	0.12
30482178.20	0.00
30482232.26	0.12
30482233.65	0.00
30482260.71	0.12
30482261.37	0.00
30482286.84	0.12
30482287.13	0.00
