time	count
0.00	0.00
25930.62	1.00
26142.80	0.00
26175.56	1.00
26248.03	0.00
26260.72	1.00
26600.26	0.00
27681.71	1.00
27721.16	0.00
27733.67	1.00
27745.26	0.00
27766.85	1.00
27946.96	0.00
27958.37	1.00
27964.10	0.00
27972.97	1.00
27973.60	0.00
27978.66	1.00
27979.42	0.00
27992.27	1.00
27993.08	0.00
27999.56	1.00
28262.07	0.00
28275.33	1.00
28278.22	0.00
28296.91	1.00
28305.86	0.00
28335.29	1.00
28344.10	0.00
28356.50	1.00
28386.46	0.00
28405.39	1.00
28457.41	0.00
28469.28	1.00
28470.33	0.00
28485.93	1.00
28486.63	0.00
28501.37	1.00
28502.05	0.00
28513.62	1.00
28514.60	0.00
28531.31	1.00
28538.12	0.00
28565.95	1.00
29871.54	0.00
29886.68	1.00
29899.56	0.00
29910.07	1.00
30170.25	0.00
30184.14	1.00
30188.04	0.00
30197.99	1.00
30256.69	0.00
30266.32	1.00
30273.44	0.00
30282.74	1.00
30293.91	0.00
30300.81	1.00
30306.11	0.00
32473.85	1.00
32603.42	0.00
32607.86	1.00
32764.48	0.00
32972.45	1.00
32973.00	0.00
32990.88	1.00
33015.28	0.00
33020.33	1.00
33031.29	0.00
33044.39	1.00
33050.90	0.00
33064.89	1.00
33070.62	0.00
33105.25	1.00
33108.90	0.00
33120.64	1.00
33169.66	0.00
33195.26	1.00
33201.54	0.00
33210.12	1.00
33221.20	0.00
33234.25	1.00
33244.30	0.00
33258.84	1.00
33266.65	0.00
33278.63	1.00
33290.79	0.00
33310.18	1.00
33322.21	0.00
33333.06	1.00
33333.93	0.00
33348.54	1.00
33361.29	0.00
33378.53	1.00
33379.74	0.00
33395.48	1.00
33396.53	0.00
33411.22	1.00
33412.22	0.00
33425.56	1.00
33426.18	0.00
33441.17	1.00
33454.39	0.00
33465.64	1.00
33467.48	0.00
33488.35	1.00
33501.13	0.00
33522.58	1.00
33554.25	0.00
33580.51	1.00
33587.38	0.00
33599.15	1.00
33607.64	0.00
33621.71	1.00
33651.72	0.00
33686.72	1.00
33692.18	0.00
33697.97	1.00
33724.65	0.00
33749.53	1.00
33765.15	0.00
33782.16	1.00
33787.85	0.00
33797.42	1.00
33803.74	0.00
33816.86	1.00
33822.81	0.00
33834.55	1.00
33837.74	0.00
33848.14	1.00
33904.56	0.00
33916.45	1.00
33926.27	0.00
33936.42	1.00
33939.96	0.00
33953.50	1.00
33956.77	0.00
33971.57	1.00
33996.59	0.00
34009.21	1.00
34076.50	0.00
34091.32	1.00
34167.10	0.00
34179.07	1.00
34200.63	0.00
34212.80	1.00
34219.23	0.00
34231.39	1.00
34235.71	0.00
34245.82	1.00
34394.55	0.00
34408.02	1.00
34446.02	0.00
34458.46	1.00
34469.75	0.00
34492.86	1.00
34503.94	0.00
34718.53	1.00
34719.09	0.00
34747.22	1.00
34782.22	0.00
34791.89	1.00
34819.62	0.00
34832.90	1.00
34841.94	0.00
34857.42	1.00
34895.58	0.00
34908.35	1.00
34921.41	0.00
34935.29	1.00
35033.82	0.00
35048.01	1.00
35060.60	0.00
35074.33	1.00
35090.18	0.00
35102.36	1.00
35146.50	0.00
35158.59	1.00
35202.86	0.00
35217.72	1.00
35236.03	0.00
35248.23	1.00
35264.89	0.00
35277.47	1.00
35297.12	0.00
35309.60	1.00
35324.90	0.00
35338.29	1.00
35357.27	0.00
35370.15	1.00
35381.53	0.00
35397.23	1.00
35398.62	0.00
35408.58	1.00
35522.07	0.00
35534.97	1.00
35548.46	0.00
35565.12	1.00
35710.79	0.00
35723.21	1.00
35732.88	0.00
35743.89	1.00
35749.32	0.00
35760.74	1.00
35764.12	0.00
35791.44	1.00
35799.66	0.00
35803.61	1.00
35865.05	0.00
35890.28	1.00
35910.32	0.00
35919.46	1.00
35935.75	0.00
35949.84	1.00
35988.57	0.00
35999.60	1.00
36036.38	0.00
36047.72	1.00
36050.87	0.00
36074.73	1.00
36133.52	0.00
36138.92	1.00
36339.83	0.00
36369.22	1.00
36370.66	0.00
36383.71	1.00
36385.78	0.00
36397.01	1.00
36400.88	0.00
36421.07	1.00
36422.91	0.00
36439.58	1.00
36561.80	0.00
36564.47	1.00
36565.62	0.00
36581.81	1.00
36584.29	0.00
36596.94	1.00
36624.39	0.00
36639.16	1.00
36640.57	0.00
36652.43	1.00
36656.30	0.00
36667.07	1.00
36668.13	0.00
36682.96	1.00
36684.75	0.00
36696.50	1.00
36700.38	0.00
36713.22	1.00
36713.96	0.00
36723.82	1.00
36731.23	0.00
36742.09	1.00
36743.64	0.00
36754.72	1.00
36756.39	0.00
36768.13	1.00
36772.15	0.00
36785.74	1.00
36896.86	0.00
36907.32	1.00
36908.31	0.00
36919.07	1.00
36964.36	0.00
36974.68	1.00
36989.73	0.00
36998.82	1.00
37000.60	0.00
37019.05	1.00
37020.82	0.00
37030.92	1.00
37032.86	0.00
37042.28	1.00
37048.82	0.00
37059.10	1.00
37060.12	0.00
37069.61	1.00
37071.80	0.00
37101.91	1.00
37103.28	0.00
37116.33	1.00
37237.90	0.00
37252.49	1.00
37391.63	0.00
37394.38	1.00
37419.65	0.00
37433.45	1.00
37434.41	0.00
37455.46	1.00
37482.98	0.00
37499.92	1.00
37678.50	0.00
37693.58	1.00
37752.60	0.00
37766.84	1.00
37789.29	0.00
37800.73	1.00
37825.28	0.00
37853.90	1.00
37865.29	0.00
37880.11	1.00
37907.43	0.00
37917.39	1.00
37921.24	0.00
37931.40	1.00
37936.36	0.00
37946.52	1.00
37947.88	0.00
37963.69	1.00
37966.47	0.00
37977.48	1.00
37980.75	0.00
37990.25	1.00
37992.13	0.00
38000.83	1.00
38001.80	0.00
38011.64	1.00
38034.04	0.00
38036.19	1.00
38050.59	0.00
38059.65	1.00
38138.43	0.00
38142.99	1.00
38143.98	0.00
38165.22	1.00
38167.25	0.00
38174.24	1.00
38246.66	0.00
38265.70	1.00
38266.93	0.00
38303.46	1.00
38325.26	0.00
38327.52	1.00
38404.05	0.00
38419.13	1.00
38419.75	0.00
38435.32	1.00
38446.28	0.00
38458.82	1.00
38466.22	0.00
38478.28	1.00
38544.42	0.00
38554.32	1.00
38582.14	0.00
38590.80	1.00
38633.08	0.00
38643.29	1.00
38646.36	0.00
38668.40	1.00
38670.57	0.00
38688.27	1.00
38691.34	0.00
38705.64	1.00
38709.08	0.00
38719.81	1.00
38797.96	0.00
38808.62	1.00
38828.56	0.00
38841.42	1.00
38856.53	0.00
38868.86	1.00
39052.36	0.00
39067.04	1.00
39069.93	0.00
39083.09	1.00
39086.06	0.00
39099.18	1.00
39101.66	0.00
39117.69	1.00
39119.04	0.00
39131.43	1.00
39133.63	0.00
39145.26	1.00
39146.36	0.00
39159.38	1.00
39241.38	0.00
39243.85	1.00
39318.38	0.00
39329.81	1.00
39370.81	0.00
39384.40	1.00
39418.28	0.00
39431.04	1.00
39442.02	0.00
39468.28	1.00
39469.19	0.00
39484.40	1.00
39537.16	0.00
39553.43	1.00
39555.56	0.00
39571.68	1.00
39591.54	0.00
39593.16	1.00
39605.86	0.00
39607.40	1.00
39625.97	0.00
39641.58	1.00
39642.68	0.00
39656.32	1.00
39657.96	0.00
39670.80	1.00
39774.25	0.00
39790.62	1.00
39817.60	0.00
39831.50	1.00
39837.49	0.00
39849.33	1.00
39857.88	0.00
39870.26	1.00
39883.96	0.00
39898.46	1.00
40064.33	0.00
40074.95	1.00
40083.59	0.00
40094.19	1.00
40098.37	0.00
40111.23	1.00
40112.82	0.00
40126.51	1.00
40135.25	0.00
40145.32	1.00
40150.09	0.00
40160.25	1.00
40161.15	0.00
40171.01	1.00
40257.14	0.00
40260.12	1.00
40261.32	0.00
40274.61	1.00
40275.52	0.00
40301.32	1.00
40343.77	0.00
40345.38	1.00
40377.77	0.00
40406.75	1.00
40407.93	0.00
40425.44	1.00
40441.83	0.00
40455.36	1.00
40478.78	0.00
40492.67	1.00
40497.95	0.00
40516.28	1.00
40534.86	0.00
40546.06	1.00
40607.75	0.00
40623.32	1.00
40675.32	0.00
40691.09	1.00
40703.11	0.00
40715.28	1.00
40722.15	0.00
40734.45	1.00
40762.15	0.00
40774.01	1.00
40783.54	0.00
40795.28	1.00
40801.75	0.00
40813.88	1.00
40827.87	0.00
40842.66	1.00
40846.97	0.00
40858.94	1.00
40872.92	0.00
40884.41	1.00
40910.87	0.00
40913.00	1.00
40925.21	0.00
40929.43	1.00
40947.85	0.00
40949.92	1.00
40962.72	0.00
40975.29	1.00
40976.58	0.00
40996.73	1.00
41019.15	0.00
41020.79	1.00
41028.01	0.00
41029.86	1.00
41030.63	0.00
41048.06	1.00
41049.14	0.00
41063.78	1.00
41089.05	0.00
41090.77	1.00
41092.69	0.00
41096.17	1.00
41114.33	0.00
41127.29	1.00
41128.07	0.00
41145.94	1.00
41157.38	0.00
41158.97	1.00
41168.93	0.00
41171.41	1.00
41171.95	0.00
41182.58	1.00
41183.33	0.00
41210.42	1.00
41223.74	0.00
41235.76	1.00
41235.93	0.00
41247.77	1.00
41248.45	0.00
41264.53	1.00
41276.66	0.00
41292.10	1.00
41292.31	0.00
41304.97	1.00
41305.64	0.00
41331.14	1.00
41400.67	0.00
41436.43	1.00
41436.63	0.00
41449.37	1.00
41450.57	0.00
41463.23	1.00
41588.02	0.00
41590.27	1.00
41590.95	0.00
41604.49	1.00
41605.18	0.00
41618.85	1.00
41619.35	0.00
41629.79	1.00
41630.44	0.00
41644.89	1.00
41652.09	0.00
41663.80	1.00
41667.41	0.00
41678.29	1.00
41679.74	0.00
41690.25	1.00
41692.29	0.00
41705.07	1.00
41706.05	0.00
41716.21	1.00
41717.79	0.00
41729.99	1.00
41730.78	0.00
41740.37	1.00
41742.71	0.00
41754.26	1.00
41758.35	0.00
41770.73	1.00
41785.64	0.00
41787.05	1.00
41918.54	0.00
41933.06	1.00
42053.41	0.00
42069.22	1.00
42177.90	0.00
42209.78	1.00
42210.75	0.00
42228.59	1.00
42242.34	0.00
42244.15	1.00
42249.96	0.00
42253.50	1.00
42256.42	0.00
42296.37	1.00
42300.07	0.00
42316.25	1.00
42318.96	0.00
42330.26	1.00
42331.89	0.00
42342.93	1.00
42344.20	0.00
42354.52	1.00
42355.25	0.00
42364.82	1.00
42365.42	0.00
42374.89	1.00
42375.61	0.00
42388.93	1.00
42407.15	0.00
42408.70	1.00
42411.63	0.00
42427.52	1.00
42428.24	0.00
42442.32	1.00
42473.53	0.00
42475.05	1.00
42486.95	0.00
42495.66	1.00
42496.30	0.00
42506.62	1.00
42646.40	0.00
42662.90	1.00
42664.26	0.00
42675.89	1.00
42691.94	0.00
42693.45	1.00
42694.23	0.00
42709.65	1.00
42710.28	0.00
42723.69	1.00
42745.12	0.00
42746.53	1.00
42748.04	0.00
42765.06	1.00
42768.10	0.00
42780.18	1.00
42784.06	0.00
42794.00	1.00
42794.65	0.00
42810.85	1.00
42857.00	0.00
42858.43	1.00
42864.39	0.00
42867.97	1.00
42869.59	0.00
42872.83	1.00
42875.09	0.00
42908.66	1.00
42909.38	0.00
42935.41	1.00
42994.01	0.00
42995.94	1.00
43008.60	0.00
43010.65	1.00
43011.36	0.00
43019.20	1.00
43019.97	0.00
43025.00	1.00
43030.08	0.00
43048.58	1.00
43052.06	0.00
43064.18	1.00
43066.96	0.00
43079.03	1.00
43081.16	0.00
43094.49	1.00
43095.26	0.00
43114.96	1.00
43136.64	0.00
43138.14	1.00
43138.64	0.00
43153.76	1.00
43154.16	0.00
43166.32	1.00
43167.25	0.00
43182.13	1.00
43206.78	0.00
43219.95	1.00
43221.39	0.00
43231.93	1.00
43233.24	0.00
43243.93	1.00
43244.79	0.00
43257.24	1.00
43270.84	0.00
43272.49	1.00
43273.48	0.00
43288.24	1.00
43299.44	0.00
43310.59	1.00
43323.32	0.00
43334.26	1.00
43335.09	0.00
43347.91	1.00
43362.76	0.00
43364.15	1.00
43512.37	0.00
43514.57	1.00
43515.56	0.00
43521.72	1.00
43549.89	0.00
43551.64	1.00
43552.40	0.00
43557.90	1.00
43580.89	0.00
43582.68	1.00
43583.38	0.00
43596.86	1.00
43675.14	0.00
43677.05	1.00
43677.91	0.00
43690.21	1.00
43729.84	0.00
43731.97	1.00
43732.67	0.00
43737.39	1.00
43804.90	0.00
43806.88	1.00
43807.54	0.00
43814.71	1.00
43826.46	0.00
43828.16	1.00
43828.54	0.00
43839.96	1.00
43845.83	0.00
43875.01	1.00
43875.82	0.00
43901.65	1.00
44019.13	0.00
44030.90	1.00
44116.45	0.00
44118.51	1.00
44136.83	0.00
44138.77	1.00
44139.61	0.00
44145.93	1.00
44190.75	0.00
44192.55	1.00
44193.23	0.00
44204.54	1.00
44217.05	0.00
44218.58	1.00
44219.20	0.00
44231.55	1.00
44262.87	0.00
44264.53	1.00
44265.34	0.00
44272.91	1.00
44307.77	0.00
44309.72	1.00
44310.39	0.00
44322.72	1.00
44410.62	0.00
44419.97	1.00
44420.59	0.00
44430.36	1.00
44450.83	0.00
44452.42	1.00
44454.87	0.00
44458.32	1.00
44461.71	0.00
44495.02	1.00
44500.90	0.00
44516.39	1.00
44517.25	0.00
44531.13	1.00
44647.33	0.00
44659.80	1.00
44692.82	0.00
44701.37	1.00
44723.82	0.00
44729.05	1.00
44838.38	0.00
44840.48	1.00
44844.55	0.00
44872.71	1.00
44876.13	0.00
44888.27	1.00
44891.08	0.00
44901.43	1.00
44902.18	0.00
44911.56	1.00
44957.81	0.00
44959.91	1.00
45006.66	0.00
45020.92	1.00
45021.75	0.00
45039.22	1.00
45144.08	0.00
45146.40	1.00
45227.00	0.00
45229.27	1.00
45229.90	0.00
45235.78	1.00
45274.28	0.00
45293.14	1.00
45293.85	0.00
45307.91	1.00
45409.04	0.00
45410.58	1.00
45428.04	0.00
45439.50	1.00
45440.26	0.00
45457.38	1.00
45472.46	0.00
45484.28	1.00
45484.81	0.00
45494.00	1.00
45494.67	0.00
45505.92	1.00
45623.16	0.00
45624.84	1.00
45639.47	0.00
45650.90	1.00
45651.53	0.00
45664.50	1.00
45697.17	0.00
45711.23	1.00
45716.55	0.00
45731.72	1.00
45750.17	0.00
45760.12	1.00
45765.72	0.00
45778.83	1.00
45785.53	0.00
45796.51	1.00
45832.41	0.00
45841.82	1.00
45865.64	0.00
45870.83	1.00
45876.42	0.00
45887.42	1.00
45909.63	0.00
45922.83	1.00
45928.91	0.00
45941.25	1.00
45975.95	0.00
45989.37	1.00
46006.99	0.00
46017.97	1.00
46045.02	0.00
46047.04	1.00
46056.60	0.00
46059.89	1.00
46071.08	0.00
46078.73	1.00
46079.60	0.00
46094.85	1.00
46106.28	0.00
46108.34	1.00
46119.99	0.00
46137.43	1.00
46138.03	0.00
46168.92	1.00
46190.82	0.00
46192.91	1.00
46201.22	0.00
46204.86	1.00
46215.89	0.00
46228.61	1.00
46229.59	0.00
46244.32	1.00
46255.46	0.00
46257.01	1.00
46266.13	0.00
46269.88	1.00
46270.18	0.00
46280.18	1.00
46280.87	0.00
46301.11	1.00
46323.49	0.00
46325.27	1.00
46326.18	0.00
46339.63	1.00
46340.07	0.00
46349.61	1.00
46350.61	0.00
46365.90	1.00
46389.14	0.00
46390.68	1.00
46392.60	0.00
46396.83	1.00
46397.00	0.00
46398.51	1.00
46399.73	0.00
46411.27	1.00
46412.00	0.00
46424.96	1.00
46436.74	0.00
46472.19	1.00
46472.35	0.00
46487.37	1.00
46488.04	0.00
46501.40	1.00
46552.06	0.00
46567.39	1.00
46567.67	0.00
46579.65	1.00
46580.25	0.00
46593.94	1.00
46619.90	0.00
46631.17	1.00
46631.47	0.00
46644.42	1.00
46645.11	0.00
46661.41	1.00
46681.51	0.00
46690.39	1.00
46690.52	0.00
46703.35	1.00
46704.13	0.00
46720.29	1.00
46743.86	0.00
46745.44	1.00
46746.00	0.00
46761.21	1.00
46761.48	0.00
46775.11	1.00
46775.75	0.00
46793.99	1.00
46843.32	0.00
46844.72	1.00
