time	count
0.00	0.00
743471.00	1.00
743808.97	0.00
1642065.27	1.00
1642483.48	0.00
1644124.13	1.00
1644537.56	0.00
1644866.59	1.00
1680522.10	0.00
2131180.78	1.00
2131348.54	0.00
2507983.16	1.00
2508059.14	0.00
2508468.48	1.00
2508623.00	0.00
2531385.57	1.00
2531453.75	0.00
4779671.85	1.00
4779738.68	0.00
4780539.83	1.00
4780601.08	0.00
4780970.56	1.00
4781028.97	0.00
4783379.47	1.00
4783446.50	0.00
6037421.88	1.00
6037484.52	0.00
6951024.11	1.00
6951098.27	0.00
7016152.82	1.00
7016259.93	0.00
7017771.79	1.00
7017904.26	0.00
7018369.55	1.00
7018538.99	0.00
7018996.35	1.00
7019211.74	0.00
7019474.82	1.00
7019701.33	0.00
7040845.08	1.00
7041113.71	0.00
7457078.62	1.00
7457368.29	0.00
7840159.66	1.00
7840406.01	0.00
7885479.67	1.00
7885692.25	0.00
7929990.11	1.00
7930239.63	0.00
7986444.39	1.00
7986590.15	0.00
8036222.83	1.00
8036362.96	0.00
8410801.10	1.00
8411009.89	0.00
8785785.49	1.00
8786027.08	0.00
10023658.17	1.00
10023834.93	0.00
10482492.91	1.00
10482615.98	0.00
10943664.15	1.00
10943795.43	0.00
11003816.16	1.00
11003961.09	0.00
12237352.91	1.00
12237492.99	0.00
12700730.48	1.00
12700822.29	0.00
13160658.31	1.00
13160751.38	0.00
13222672.82	1.00
13222827.87	0.00
13223254.76	1.00
13223403.36	0.00
13223553.19	1.00
13223733.40	0.00
13223831.67	1.00
13224024.81	0.00
13224031.41	1.00
13224254.37	0.00
13227872.75	1.00
13228131.12	0.00
