time	count
0.00	0.00
25644.05	0.25
25663.03	0.00
25725.38	0.25
25726.03	0.00
26052.74	0.25
26068.70	0.50
26106.47	0.25
27276.06	0.50
27280.83	0.25
27322.68	0.50
27325.03	0.25
27357.76	0.50
27375.86	0.25
27476.47	0.50
27477.83	0.25
27492.44	0.50
27502.66	0.25
27503.93	0.50
27505.70	0.25
27509.08	0.50
27521.62	0.75
27522.28	0.50
27568.90	0.25
27699.93	0.00
27818.55	0.25
27820.18	0.00
27838.60	0.25
27839.61	0.00
27857.82	0.25
27858.36	0.00
27920.40	0.25
27921.11	0.00
27940.11	0.25
27940.45	0.00
28575.92	0.25
28579.40	0.00
28780.81	0.25
28781.06	0.00
29218.11	0.25
29224.97	0.50
29230.75	0.25
29250.75	0.50
29251.94	0.25
29545.04	0.50
29546.41	0.25
29560.41	0.50
29568.98	0.25
29644.76	0.50
29655.79	0.25
29656.84	0.50
29658.17	0.25
29675.55	0.50
29676.10	0.25
29716.44	0.50
29717.00	0.25
29786.83	0.50
29787.72	0.25
29802.98	0.50
29807.62	0.75
29808.56	0.50
29810.03	0.25
29825.07	0.50
29825.64	0.25
29839.63	0.50
29840.17	0.25
29853.12	0.50
29853.49	0.25
29894.46	0.50
29895.01	0.25
29906.27	0.50
29906.78	0.25
29920.93	0.50
29921.43	0.25
29932.87	0.50
29937.20	0.75
29937.57	0.50
29937.67	0.25
30001.95	0.50
30002.32	0.25
30019.35	0.50
30019.91	0.25
30036.55	0.50
30037.02	0.25
31604.45	0.00
32082.46	0.25
32083.39	0.00
32091.59	0.25
32092.26	0.00
32154.76	0.25
32205.56	0.00
32258.51	0.25
32260.21	0.00
32308.92	0.25
32310.54	0.00
32328.11	0.25
32333.35	0.00
32346.71	0.25
32347.25	0.00
32369.73	0.25
32370.27	0.00
32405.98	0.25
32406.49	0.00
32436.99	0.25
32437.51	0.00
32450.44	0.25
32450.88	0.00
32467.89	0.25
32472.13	0.00
32569.84	0.25
32570.28	0.00
32595.95	0.25
32596.04	0.50
32596.29	0.25
32596.73	0.00
32609.94	0.25
32610.45	0.00
32638.61	0.25
32640.02	0.00
32655.90	0.25
32656.68	0.00
32672.10	0.25
32676.24	0.00
32693.67	0.25
32694.32	0.00
32709.33	0.25
32709.92	0.00
32724.18	0.25
32724.47	0.00
32750.69	0.25
32751.12	0.00
32784.88	0.25
32788.79	0.00
32803.56	0.25
32804.03	0.00
32826.32	0.25
32826.83	0.00
32859.88	0.25
32864.54	0.50
32870.88	0.25
32889.48	0.00
32938.53	0.25
32950.91	0.50
32952.28	0.25
32977.19	0.50
32977.67	0.25
32992.11	0.50
32992.70	0.25
33010.64	0.50
33011.08	0.25
33031.03	0.50
