level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	3	26052.735	26052.735	27699.93	#00ff03	1.0	toplevel [primary] <1>		[[0, 0, 400], [0, 0, 393], [0, 0, 372], [0, 0, 392], [0, 0, 399], [0, 0, 398], [0, 0, 391], [0, 0, 2004], [0, 0, 397], [0, 0, 390], [0, 0, 396], [0, 0, 402], [0, 0, 395], [0, 0, 388], [0, 0, 401], [0, 0, 394]]	[[0, 0, 53], [0, 0, 1986], [0, 0, 58], [0, 0, 55], [0, 0, 57], [0, 0, 54], [0, 0, 56], [0, 0, 10]]	[[0, 1, 2086], [0, 1, 1353], [0, 1, 2087], [0, 2, 2091], [0, 2, 1343], [0, 1, 5], [0, 1, 2093], [0, 1, 1338], [0, 1, 2088], [0, 1, 1357], [0, 1, 1339], [0, 2, 3], [0, 1, 2089], [0, 2, 2097], [0, 1, 7], [0, 2, 2095], [0, 1, 2629], [0, 2, 2096], [0, 1, 1341], [0, 2, 2099], [0, 1, 1358], [0, 1, 1342], [0, 1, 2092], [0, 1, 2074], [0, 1, 1985], [0, 2, 1350], [0, 2, 1356], [0, 1, 2075], [0, 1, 1346], [0, 1, 2080], [0, 1, 2094], [0, 2, 2100], [0, 1, 2076], [0, 2, 2082], [0, 1, 2077], [0, 1, 1348], [0, 1, 2098], [0, 2, 1345], [0, 1, 2078], [0, 2, 2084], [0, 2, 1344], [0, 2, 9], [0, 1, 2079], [0, 1, 1351], [0, 1, 2083], [0, 2, 1337], [0, 1, 2081], [0, 1, 2085]]		2101
2	3	27699.93	27699.93	32147.092	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	32147.092	32147.092	32154.759	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	32154.759	32154.759	32205.56	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	32205.56	32205.56	32931.847	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	32931.847	32931.847	32938.533	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	32938.533	32938.533	33127.093	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	33127.093	33127.093	33770.835	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	33770.835	33770.835	33777.197	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	33777.197	33777.197	33789.119	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	33789.119	33789.119	41651.72	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	41651.72	41651.72	41659.626	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	41659.626	41659.626	41758.481	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	41758.481	41758.481	42218.012	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	42218.012	42218.012	42226.375	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	42226.375	42226.375	42295.137	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	42295.137	42295.137	42662.196	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	42662.196	42662.196	42669.792	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	42669.792	42669.792	42690.747	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	42690.747	42690.747	45235.466	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	45235.466	45235.466	45239.631	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	45239.631	45239.631	45267.068	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	45267.068	45267.068	45553.231	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	45553.231	45553.231	45558.049	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	45558.049	45558.049	45617.594	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	45617.594	45617.594	45924.23	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	45924.23	45924.23	45930.602	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	45930.602	45930.602	45940.863	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	45940.863	45940.863	48218.808	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	48218.808	48218.808	48226.338	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	48226.338	48226.338	48249.849	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	48249.849	48249.849	48508.997	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	48508.997	48508.997	48514.216	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	48514.216	48514.216	48566.854	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	48566.854	48566.854	48854.161	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	48854.161	48854.161	48862.356	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	48862.356	48862.356	48873.174	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	48873.174	48873.174	51196.326	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	51196.326	51196.326	51203.872	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	51203.872	51203.872	51230.061	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	51230.061	51230.061	51491.468	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	51491.468	51491.468	51495.735	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	51495.735	51495.735	51509.386	#00ff03	1.0	toplevel [primary] <1>						2101
2	3	51509.386	51509.386	51561.336	#00ff03	0.15	toplevel [primary] <1> (waiting)						2101
2	3	51561.336	51561.336	51571.428	#00ff03	0.45	toplevel [primary] <1> (ready)						2101
2	3	51571.428	51571.428	51658.652	#00ff03	1.0	toplevel [primary] <1>						2101
1	2	27818.547	27818.547	27820.182	#FFC0CB	1.0	ProfTask <4>						2260
1	2	29209.631	29218.108	31604.452	#85ff00	1.0	initialize_graph [primary] <4>		[[0, 1, 2074], [0, 2, 3], [0, 0, 2103], [0, 1, 2075], [0, 1, 1985]]	[[0, 0, 2102], [0, 0, 2631], [0, 0, 1555], [0, 0, 19]]		[[0, 2, 2101]]	1337
1	2	32258.515	32258.515	32260.206	#FFC0CB	1.0	ProfTask <4>						2262
1	2	32596.044	32596.044	32596.733	#FFC0CB	1.0	ProfTask <1>						2264
1	2	33596.708	33596.708	33604.214	#FFC0CB	1.0	ProfTask						2266
1	2	33606.131	33606.131	33606.464	#FFC0CB	1.0	ProfTask						2268
1	2	33673.66	33673.66	33674.202	#FFC0CB	1.0	ProfTask <15>						2270
1	2	33968.562	33968.562	33968.85	#FFC0CB	1.0	ProfTask <21>						2272
1	2	34828.939	34828.939	34830.531	#FFC0CB	1.0	ProfTask <21>						2274
1	2	34916.308	34916.308	34921.73	#FFC0CB	1.0	ProfTask <18>						2276
1	2	34978.47	34978.47	34978.787	#FFC0CB	1.0	ProfTask <25>						2278
1	2	35051.051	35051.051	35051.513	#FFC0CB	1.0	ProfTask <26>						2280
1	2	35063.772	35063.772	35064.169	#FFC0CB	1.0	ProfTask <25>						2282
1	2	35105.013	35105.013	35105.491	#FFC0CB	1.0	ProfTask <26>						2284
1	2	35109.685	35109.685	35109.883	#FFC0CB	1.0	ProfTask <25>						2286
1	2	35127.945	35127.945	35128.269	#FFC0CB	1.0	ProfTask <26>						2288
1	2	35139.741	35139.741	35140.109	#FFC0CB	1.0	ProfTask <26>						2290
1	2	35150.872	35150.872	35154.553	#FFC0CB	1.0	ProfTask <26>						2292
1	2	35158.088	35158.088	35158.44	#FFC0CB	1.0	ProfTask <25>						2294
1	2	35198.315	35198.315	35198.527	#FFC0CB	1.0	ProfTask <25>						2296
1	2	35236.449	35236.449	35237.617	#FFC0CB	1.0	ProfTask <25>						2298
1	2	35247.558	35247.558	35247.87	#FFC0CB	1.0	ProfTask <25>						2300
1	2	35267.42	35267.42	35267.883	#FFC0CB	1.0	ProfTask <26>						2302
1	2	35487.065	35487.065	35489.185	#FFC0CB	1.0	ProfTask <25>						2304
