[0 - 2ba1ff257300]    0.003797 {3}{legion_spy}: Legion Spy Logging
[0 - 2ba1ff431780]    0.075331 {3}{legion_spy}: Task ID Name 10000 initialize_graph
[0 - 2ba1ff431780]    0.076016 {3}{legion_spy}: Task Variant 10000 1 0 1 0 primary
[0 - 2ba1ff431780]    0.076074 {3}{legion_spy}: Task ID Name 10000 initialize_graph
[0 - 2ba1ff431780]    0.076172 {3}{legion_spy}: Task Variant 10000 2 0 1 0 primary
[0 - 2ba1ff431780]    0.076194 {3}{legion_spy}: Task ID Name 10001 l2_norm
[0 - 2ba1ff431780]    0.076284 {3}{legion_spy}: Task Variant 10001 3 0 1 1 primary
[0 - 2ba1ff431780]    0.076306 {3}{legion_spy}: Task ID Name 10001 l2_norm
[0 - 2ba1ff431780]    0.076358 {3}{legion_spy}: Task Variant 10001 4 0 1 1 primary
[0 - 2ba1ff431780]    0.076378 {3}{legion_spy}: Task ID Name 10002 update_cont
[0 - 2ba1ff431780]    0.076464 {3}{legion_spy}: Task Variant 10002 5 0 1 1 primary
[0 - 2ba1ff431780]    0.076489 {3}{legion_spy}: Task ID Name 10002 update_cont
[0 - 2ba1ff431780]    0.076539 {3}{legion_spy}: Task Variant 10002 6 0 1 1 primary
[0 - 2ba1ff431780]    0.076559 {3}{legion_spy}: Task ID Name 10003 update_sum
[0 - 2ba1ff431780]    0.076636 {3}{legion_spy}: Task Variant 10003 7 0 1 1 primary
[0 - 2ba1ff431780]    0.076658 {3}{legion_spy}: Task ID Name 10003 update_sum
[0 - 2ba1ff431780]    0.076706 {3}{legion_spy}: Task Variant 10003 8 0 1 1 primary
[0 - 2ba1ff431780]    0.076725 {3}{legion_spy}: Task ID Name 10004 update_ranks
[0 - 2ba1ff431780]    0.076800 {3}{legion_spy}: Task Variant 10004 9 0 1 1 primary
[0 - 2ba1ff431780]    0.076822 {3}{legion_spy}: Task ID Name 10004 update_ranks
[0 - 2ba1ff431780]    0.076870 {3}{legion_spy}: Task Variant 10004 10 0 1 1 primary
[0 - 2ba1ff431780]    0.076890 {3}{legion_spy}: Task ID Name 10005 update_prev_rank
[0 - 2ba1ff431780]    0.076958 {3}{legion_spy}: Task Variant 10005 11 0 1 1 primary
[0 - 2ba1ff431780]    0.076979 {3}{legion_spy}: Task ID Name 10005 update_prev_rank
[0 - 2ba1ff431780]    0.077032 {3}{legion_spy}: Task Variant 10005 12 0 1 1 primary
[0 - 2ba1ff431780]    0.077052 {3}{legion_spy}: Task ID Name 10006 dump_ranks
[0 - 2ba1ff431780]    0.077120 {3}{legion_spy}: Task Variant 10006 13 0 1 0 primary
[0 - 2ba1ff431780]    0.077140 {3}{legion_spy}: Task ID Name 10006 dump_ranks
[0 - 2ba1ff431780]    0.077189 {3}{legion_spy}: Task Variant 10006 14 0 1 0 primary
[0 - 2ba1ff431780]    0.077208 {3}{legion_spy}: Task ID Name 10008 __unary_bool_not
[0 - 2ba1ff431780]    0.077280 {3}{legion_spy}: Task Variant 10008 15 0 1 1 primary
[0 - 2ba1ff431780]    0.077302 {3}{legion_spy}: Task ID Name 10008 __unary_bool_not
[0 - 2ba1ff431780]    0.077348 {3}{legion_spy}: Task Variant 10008 16 0 1 1 primary
[0 - 2ba1ff431780]    0.077366 {3}{legion_spy}: Task ID Name 10009 __binary_int32_int32_+
[0 - 2ba1ff431780]    0.077437 {3}{legion_spy}: Task Variant 10009 17 0 1 1 primary
[0 - 2ba1ff431780]    0.077458 {3}{legion_spy}: Task ID Name 10009 __binary_int32_int32_+
[0 - 2ba1ff431780]    0.077510 {3}{legion_spy}: Task Variant 10009 18 0 1 1 primary
[0 - 2ba1ff431780]    0.077529 {3}{legion_spy}: Task ID Name 10010 __binary_int32_uint32_>=
[0 - 2ba1ff431780]    0.077604 {3}{legion_spy}: Task Variant 10010 19 0 1 1 primary
[0 - 2ba1ff431780]    0.077623 {3}{legion_spy}: Task ID Name 10010 __binary_int32_uint32_>=
[0 - 2ba1ff431780]    0.077667 {3}{legion_spy}: Task Variant 10010 20 0 1 1 primary
[0 - 2ba1ff431780]    0.077685 {3}{legion_spy}: Task ID Name 10011 __binary_double_double_<
[0 - 2ba1ff431780]    0.077753 {3}{legion_spy}: Task Variant 10011 21 0 1 1 primary
[0 - 2ba1ff431780]    0.077773 {3}{legion_spy}: Task ID Name 10011 __binary_double_double_<
[0 - 2ba1ff431780]    0.077817 {3}{legion_spy}: Task Variant 10011 22 0 1 1 primary
[0 - 2ba1ff431780]    0.077835 {3}{legion_spy}: Task ID Name 10007 toplevel
[0 - 2ba1ff431780]    0.077915 {3}{legion_spy}: Task Variant 10007 23 1 0 0 primary
