[0 - 2b1317248300]    0.003507 {3}{legion_spy}: Legion Spy Logging
[0 - 2b1317422780]    0.063830 {3}{legion_spy}: Task ID Name 10000 initialize_graph
[0 - 2b1317422780]    0.064456 {3}{legion_spy}: Task Variant 10000 1 0 1 0 primary
[0 - 2b1317422780]    0.064507 {3}{legion_spy}: Task ID Name 10000 initialize_graph
[0 - 2b1317422780]    0.064596 {3}{legion_spy}: Task Variant 10000 2 0 1 0 primary
[0 - 2b1317422780]    0.064615 {3}{legion_spy}: Task ID Name 10001 l2_norm
[0 - 2b1317422780]    0.064693 {3}{legion_spy}: Task Variant 10001 3 0 1 1 primary
[0 - 2b1317422780]    0.064712 {3}{legion_spy}: Task ID Name 10001 l2_norm
[0 - 2b1317422780]    0.064754 {3}{legion_spy}: Task Variant 10001 4 0 1 1 primary
[0 - 2b1317422780]    0.064770 {3}{legion_spy}: Task ID Name 10002 update_cont
[0 - 2b1317422780]    0.064844 {3}{legion_spy}: Task Variant 10002 5 0 1 1 primary
[0 - 2b1317422780]    0.064865 {3}{legion_spy}: Task ID Name 10002 update_cont
[0 - 2b1317422780]    0.064905 {3}{legion_spy}: Task Variant 10002 6 0 1 1 primary
[0 - 2b1317422780]    0.064922 {3}{legion_spy}: Task ID Name 10003 update_sum
[0 - 2b1317422780]    0.064984 {3}{legion_spy}: Task Variant 10003 7 0 1 1 primary
[0 - 2b1317422780]    0.065003 {3}{legion_spy}: Task ID Name 10003 update_sum
[0 - 2b1317422780]    0.065042 {3}{legion_spy}: Task Variant 10003 8 0 1 1 primary
[0 - 2b1317422780]    0.065059 {3}{legion_spy}: Task ID Name 10004 update_ranks
[0 - 2b1317422780]    0.065120 {3}{legion_spy}: Task Variant 10004 9 0 1 1 primary
[0 - 2b1317422780]    0.065139 {3}{legion_spy}: Task ID Name 10004 update_ranks
[0 - 2b1317422780]    0.065179 {3}{legion_spy}: Task Variant 10004 10 0 1 1 primary
[0 - 2b1317422780]    0.065196 {3}{legion_spy}: Task ID Name 10005 update_prev_rank
[0 - 2b1317422780]    0.065250 {3}{legion_spy}: Task Variant 10005 11 0 1 1 primary
[0 - 2b1317422780]    0.065268 {3}{legion_spy}: Task ID Name 10005 update_prev_rank
[0 - 2b1317422780]    0.065313 {3}{legion_spy}: Task Variant 10005 12 0 1 1 primary
[0 - 2b1317422780]    0.065330 {3}{legion_spy}: Task ID Name 10006 dump_ranks
[0 - 2b1317422780]    0.065385 {3}{legion_spy}: Task Variant 10006 13 0 1 0 primary
[0 - 2b1317422780]    0.065403 {3}{legion_spy}: Task ID Name 10006 dump_ranks
[0 - 2b1317422780]    0.065443 {3}{legion_spy}: Task Variant 10006 14 0 1 0 primary
[0 - 2b1317422780]    0.065459 {3}{legion_spy}: Task ID Name 10008 __unary_bool_not
[0 - 2b1317422780]    0.065518 {3}{legion_spy}: Task Variant 10008 15 0 1 1 primary
[0 - 2b1317422780]    0.065536 {3}{legion_spy}: Task ID Name 10008 __unary_bool_not
[0 - 2b1317422780]    0.065574 {3}{legion_spy}: Task Variant 10008 16 0 1 1 primary
[0 - 2b1317422780]    0.065590 {3}{legion_spy}: Task ID Name 10009 __binary_int32_int32_+
