time	count
0.00	0.00
28286.83	0.25
28304.18	0.00
28372.47	0.25
28373.17	0.00
28731.46	0.25
28747.77	0.50
28815.20	0.25
29122.48	0.00
29167.63	0.25
29175.35	0.00
29198.24	0.25
29198.80	0.00
29274.99	0.25
29275.87	0.00
29489.00	0.25
29495.90	0.00
29508.76	0.25
29509.24	0.00
29527.04	0.25
29527.76	0.00
29545.18	0.25
29545.82	0.00
29562.41	0.25
29562.97	0.00
52465.68	0.25
52466.74	0.00
52581.02	0.25
52581.94	0.00
52613.17	0.25
52613.83	0.00
52633.24	0.25
52639.38	0.00
52651.67	0.25
52652.65	0.00
52670.15	0.25
52670.56	0.00
52688.44	0.25
52688.94	0.00
52706.00	0.25
52706.62	0.00
52722.22	0.25
52726.76	0.00
52743.44	0.25
52743.93	0.00
52761.99	0.25
52762.57	0.00
52780.81	0.25
52781.31	0.00
52799.04	0.25
52799.53	0.00
52815.80	0.25
52819.71	0.00
52832.50	0.25
52833.00	0.00
52851.23	0.25
52851.76	0.00
52868.45	0.25
52868.98	0.00
52885.66	0.25
52886.16	0.00
52902.99	0.25
52903.48	0.00
52919.10	0.25
52923.00	0.00
52935.95	0.25
52936.45	0.00
52954.82	0.25
52955.33	0.00
52972.19	0.25
52972.73	0.00
52989.88	0.25
52990.36	0.00
53007.80	0.25
53011.59	0.00
53026.94	0.25
53027.84	0.00
53045.66	0.25
53046.25	0.00
53062.40	0.25
53062.92	0.00
53080.73	0.25
53081.28	0.00
53098.29	0.25
53105.71	0.00
53116.97	0.25
53117.34	0.00
53135.48	0.25
53136.04	0.00
53153.48	0.25
53153.96	0.00
53170.81	0.25
53171.30	0.00
53189.43	0.25
53189.88	0.00
53208.02	0.25
53211.61	0.00
53226.26	0.25
53226.76	0.00
53244.78	0.25
53245.33	0.00
53261.74	0.25
53262.24	0.00
53279.15	0.25
53279.63	0.00
53296.60	0.25
53300.86	0.00
53317.33	0.25
53317.79	0.00
53333.87	0.25
53334.37	0.00
53352.17	0.25
53352.70	0.00
53385.23	0.25
53385.79	0.00
53401.81	0.25
53402.30	0.00
53420.17	0.25
53424.00	0.00
53437.36	0.25
53437.90	0.00
53456.65	0.25
53457.14	0.00
53473.80	0.25
53474.34	0.00
53492.25	0.25
53492.75	0.00
53508.60	0.25
53512.36	0.00
53526.73	0.25
53527.26	0.00
53544.37	0.25
53544.90	0.00
53562.25	0.25
53562.75	0.00
53579.56	0.25
53580.09	0.00
53595.12	0.25
53600.48	0.00
53612.49	0.25
53613.00	0.00
53629.24	0.25
53629.81	0.00
53648.13	0.25
53648.61	0.00
53665.32	0.25
53665.79	0.00
53682.24	0.25
53685.87	0.00
53700.02	0.25
53700.45	0.00
53718.15	0.25
53718.59	0.00
53734.92	0.25
53735.47	0.00
53752.38	0.25
53752.90	0.00
53770.97	0.25
53771.48	0.00
53789.11	0.25
53793.42	0.00
53806.42	0.25
53807.02	0.00
53823.49	0.25
53824.06	0.00
53841.69	0.25
53842.30	0.00
53857.31	0.25
53857.80	0.00
53875.09	0.25
53878.95	0.00
53894.35	0.25
53894.89	0.00
53912.09	0.25
53912.60	0.00
53929.93	0.25
53930.33	0.00
53947.24	0.25
53947.72	0.00
53964.13	0.25
53967.49	0.00
53983.09	0.25
53983.60	0.00
54000.28	0.25
54000.85	0.00
54018.27	0.25
54018.77	0.00
54036.64	0.25
54037.12	0.00
54054.67	0.25
54055.20	0.00
54070.88	0.25
54074.95	0.00
54089.82	0.25
54090.32	0.00
54107.38	0.25
54115.51	0.00
54133.31	0.25
54133.81	0.00
54150.34	0.25
54150.83	0.00
54167.99	0.25
54171.92	0.00
