time	count
0.00	0.00
28017.16	1.00
28247.72	0.00
28278.53	1.00
28354.82	0.00
28379.33	1.00
28734.31	0.00
29050.84	1.00
29155.76	0.00
29171.55	1.00
29183.31	0.00
29203.39	1.00
29261.58	0.00
29279.91	1.00
29478.60	0.00
29491.27	1.00
29499.09	0.00
29513.07	1.00
29517.32	0.00
29532.81	1.00
29536.85	0.00
29549.53	1.00
29554.09	0.00
29567.98	1.00
52444.60	0.00
52477.57	1.00
52570.11	0.00
52586.47	1.00
52602.78	0.00
52619.16	1.00
52622.65	0.00
52635.90	1.00
52638.80	0.00
52657.57	1.00
52660.89	0.00
52676.09	1.00
52680.26	0.00
52694.05	1.00
52697.06	0.00
52710.65	1.00
52713.92	0.00
52727.61	1.00
52733.67	0.00
52749.67	1.00
52753.82	0.00
52768.71	1.00
52771.56	0.00
52787.13	1.00
52790.53	0.00
52804.28	1.00
52807.54	0.00
52819.41	1.00
52823.00	0.00
52838.85	1.00
52842.41	0.00
52857.14	1.00
52860.04	0.00
52873.63	1.00
52876.52	0.00
52890.34	1.00
52894.13	0.00
52907.55	1.00
52910.60	0.00
52922.98	1.00
52926.28	0.00
52942.64	1.00
52946.44	0.00
52961.07	1.00
52963.84	0.00
52977.96	1.00
52981.05	0.00
52996.07	1.00
52998.94	0.00
53012.52	1.00
53017.95	0.00
53033.60	1.00
53036.81	0.00
53050.84	1.00
53054.13	0.00
53068.97	1.00
53072.12	0.00
53087.19	1.00
53090.54	0.00
53102.54	1.00
53105.99	0.00
53123.18	1.00
53126.52	0.00
53141.76	1.00
53145.00	0.00
53158.84	1.00
53162.24	0.00
53177.18	1.00
53180.50	0.00
53196.08	1.00
53199.28	0.00
53212.30	1.00
53217.44	0.00
53232.39	1.00
53235.75	0.00
53250.27	1.00
53253.42	0.00
53266.66	1.00
53270.10	0.00
53285.86	1.00
53288.83	0.00
53304.34	1.00
53307.87	0.00
53322.15	1.00
53325.68	0.00
53340.22	1.00
53343.26	0.00
53372.84	1.00
53376.14	0.00
53390.66	1.00
53393.38	0.00
53407.31	1.00
53410.85	0.00
53424.25	1.00
53428.29	0.00
53444.23	1.00
53447.60	0.00
53462.92	1.00
53465.83	0.00
53480.13	1.00
53483.22	0.00
53497.16	1.00
53500.76	0.00
53512.93	1.00
53518.07	0.00
53532.55	1.00
53535.39	0.00
53550.70	1.00
53554.44	0.00
53567.57	1.00
53571.12	0.00
53584.03	1.00
53586.87	0.00
53599.72	1.00
53603.11	0.00
53617.68	1.00
53621.00	0.00
53635.93	1.00
53639.35	0.00
53654.11	1.00
53657.33	0.00
53671.12	1.00
53673.83	0.00
53686.94	1.00
53691.06	0.00
53706.49	1.00
53709.76	0.00
53723.34	1.00
53726.67	0.00
53741.01	1.00
53743.72	0.00
53758.82	1.00
53762.30	0.00
53777.79	1.00
53780.68	0.00
53793.01	1.00
53796.98	0.00
53812.47	1.00
53815.25	0.00
53829.13	1.00
53832.46	0.00
53846.03	1.00
53849.21	0.00
53863.78	1.00
53866.81	0.00
53880.13	1.00
53885.16	0.00
53899.95	1.00
53903.22	0.00
53918.25	1.00
53921.22	0.00
53935.23	1.00
53938.28	0.00
53952.62	1.00
53955.72	0.00
53968.21	1.00
53974.06	0.00
53987.86	1.00
53991.22	0.00
54007.35	1.00
54010.20	0.00
54024.83	1.00
54027.90	0.00
54042.35	1.00
54046.16	0.00
54060.04	1.00
54062.84	0.00
54075.02	1.00
54080.26	0.00
54095.27	1.00
54098.31	0.00
54122.32	1.00
54125.22	0.00
54138.44	1.00
54141.70	0.00
54156.82	1.00
54159.86	0.00
54173.15	1.00
54177.14	0.00
54191.94	1.00
54195.44	0.00
54210.35	1.00
54213.05	0.00
54226.49	1.00
54229.79	0.00
54244.06	1.00
54247.05	0.00
54260.22	1.00
54265.33	0.00
54279.09	1.00
54281.67	0.00
54295.00	1.00
54298.37	0.00
54311.91	1.00
54315.08	0.00
54328.39	1.00
54331.38	0.00
54345.20	1.00
54347.75	0.00
54362.47	1.00
54366.93	0.00
54381.92	1.00
54385.12	0.00
54400.45	1.00
54403.71	0.00
54417.35	1.00
54420.41	0.00
54434.32	1.00
54437.15	0.00
54449.32	1.00
54453.78	0.00
54468.91	1.00
54471.77	0.00
54486.02	1.00
54489.52	0.00
54504.54	1.00
54507.63	0.00
54521.05	1.00
54523.82	0.00
54535.93	1.00
54539.30	0.00
54554.57	1.00
54557.46	0.00
54571.04	1.00
54574.04	0.00
54588.65	1.00
54591.46	0.00
54605.32	1.00
54608.80	0.00
54624.20	1.00
54627.11	0.00
54639.01	1.00
54643.70	0.00
54660.81	1.00
54663.85	0.00
54677.55	1.00
54680.16	0.00
54693.12	1.00
54696.01	0.00
54710.40	1.00
54713.23	0.00
54726.47	1.00
54730.25	0.00
54745.93	1.00
54748.97	0.00
54778.32	1.00
54781.44	0.00
54796.69	1.00
54799.63	0.00
54812.89	1.00
54815.94	0.00
54827.86	1.00
54832.76	0.00
54846.66	1.00
54849.82	0.00
54864.29	1.00
54867.27	0.00
54883.84	1.00
54886.82	0.00
54901.23	1.00
54904.35	0.00
54916.93	1.00
54920.00	0.00
54932.36	1.00
54935.80	0.00
54952.29	1.00
54955.10	0.00
54969.70	1.00
54972.76	0.00
54986.13	1.00
54989.41	0.00
55004.77	1.00
55008.16	0.00
55021.12	1.00
55024.81	0.00
55040.10	1.00
55043.87	0.00
55057.82	1.00
55060.66	0.00
55075.06	1.00
55078.86	0.00
55094.51	1.00
55097.53	0.00
55110.55	1.00
55113.67	0.00
55126.99	1.00
55131.12	0.00
55145.58	1.00
55148.30	0.00
55164.29	1.00
55167.41	0.00
55182.37	1.00
55185.35	0.00
55198.98	1.00
55201.64	0.00
55213.79	1.00
55218.94	0.00
55235.48	1.00
55238.49	0.00
55253.09	1.00
55256.45	0.00
55270.55	1.00
55273.64	0.00
55285.71	1.00
55291.52	0.00
55306.74	1.00
55310.39	0.00
55325.90	1.00
55328.90	0.00
55341.81	1.00
55344.88	0.00
55361.25	1.00
55364.61	0.00
55379.09	1.00
55382.13	0.00
55394.86	1.00
55399.57	0.00
55413.19	1.00
55416.16	0.00
55431.88	1.00
55434.87	0.00
55450.63	1.00
55453.91	0.00
55467.68	1.00
55470.87	0.00
55484.89	1.00
55487.86	0.00
55501.85	1.00
55507.38	0.00
55521.58	1.00
55524.75	0.00
55540.60	1.00
55543.49	0.00
55556.82	1.00
55560.16	0.00
55572.38	1.00
55577.05	0.00
55591.74	1.00
55594.60	0.00
55609.30	1.00
55612.48	0.00
55626.09	1.00
55629.32	0.00
55643.84	1.00
55647.05	0.00
55662.29	1.00
55665.22	0.00
55677.07	1.00
55680.86	0.00
55695.36	1.00
55698.65	0.00
55712.34	1.00
55715.29	0.00
55729.11	1.00
55732.08	0.00
55747.44	1.00
55750.54	0.00
55762.46	1.00
55767.84	0.00
55783.76	1.00
55787.59	0.00
55800.19	1.00
55803.23	0.00
55816.92	1.00
55819.85	0.00
55834.92	1.00
55838.39	0.00
55850.75	1.00
55854.19	0.00
55868.64	1.00
55871.52	0.00
55887.84	1.00
55891.47	0.00
55906.43	1.00
55909.64	0.00
55924.44	1.00
55927.51	0.00
55942.99	1.00
55945.81	0.00
55957.38	1.00
55961.54	0.00
55975.19	1.00
55978.28	0.00
55992.22	1.00
55995.18	0.00
56009.06	1.00
56011.85	0.00
56026.11	1.00
56029.17	0.00
56042.22	1.00
56045.28	0.00
56067.50	1.00
56070.67	0.00
56085.37	1.00
56088.82	0.00
56104.08	1.00
56108.04	0.00
56122.44	1.00
56125.21	0.00
56137.28	1.00
56140.56	0.00
56153.13	1.00
56156.47	0.00
56167.71	1.00
56171.26	0.00
56186.10	1.00
56189.40	0.00
56203.29	1.00
56206.83	0.00
56225.61	1.00
56228.44	0.00
56244.46	1.00
56247.52	0.00
56265.06	1.00
56268.16	0.00
