level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	2	28286.834	28286.834	28304.177	#FFC0CB	1.0	ProfTask <1>						25663
2	2	28372.474	28372.474	28373.168	#FFC0CB	1.0	ProfTask						25665
2	2	28731.462	28731.462	29122.481	#00ff75	1.0	main [primary] <1>						91709
2	2	29122.481	29122.481	667424.333	#00ff75	0.15	main [primary] <1> (waiting)						91709
2	2	667424.333	667424.333	667440.333	#00ff75	0.45	main [primary] <1> (ready)						91709
2	2	667440.333	667440.333	667585.068	#00ff75	1.0	main [primary] <1>						91709
1	1	29167.633	29167.633	29175.349	#FFC0CB	1.0	ProfTask <3>						25667
1	1	29198.236	29198.236	29198.799	#FFC0CB	1.0	ProfTask <3>						25669
1	1	29274.995	29274.995	29275.865	#FFC0CB	1.0	ProfTask <4>						25671
1	1	29489.0	29489.0	29495.904	#FFC0CB	1.0	ProfTask <3>						25673
1	1	29508.765	29508.765	29509.24	#FFC0CB	1.0	ProfTask						25675
1	1	29527.042	29527.042	29527.764	#FFC0CB	1.0	ProfTask						25677
1	1	29545.176	29545.176	29545.82	#FFC0CB	1.0	ProfTask						25679
1	1	29562.411	29562.411	29562.966	#FFC0CB	1.0	ProfTask						25681
1	1	52465.678	52465.678	52466.743	#FFC0CB	1.0	ProfTask <7>						25683
1	1	52581.022	52581.022	52581.945	#FFC0CB	1.0	ProfTask <11>						25685
1	1	52613.167	52613.167	52613.832	#FFC0CB	1.0	ProfTask <12>						25687
1	1	52633.243	52633.243	52639.38	#FFC0CB	1.0	ProfTask <13>						25689
1	1	52651.665	52651.665	52652.649	#FFC0CB	1.0	ProfTask <14>						25691
1	1	52670.147	52670.147	52670.564	#FFC0CB	1.0	ProfTask <15>						25693
1	1	52688.436	52688.436	52688.944	#FFC0CB	1.0	ProfTask <16>						25695
1	1	52705.995	52705.995	52706.617	#FFC0CB	1.0	ProfTask <17>						25697
1	1	52722.219	52722.219	52726.765	#FFC0CB	1.0	ProfTask <18>						25699
1	1	52743.442	52743.442	52743.934	#FFC0CB	1.0	ProfTask <19>						25701
1	1	52761.992	52761.992	52762.567	#FFC0CB	1.0	ProfTask <20>						25703
1	1	52780.808	52780.808	52781.314	#FFC0CB	1.0	ProfTask <21>						25705
1	1	52799.043	52799.043	52799.531	#FFC0CB	1.0	ProfTask <22>						25707
1	1	52815.803	52815.803	52819.714	#FFC0CB	1.0	ProfTask <23>						25709
1	1	52832.503	52832.503	52833.0	#FFC0CB	1.0	ProfTask <24>						25711
1	1	52851.226	52851.226	52851.759	#FFC0CB	1.0	ProfTask <25>						25713
1	1	52868.447	52868.447	52868.979	#FFC0CB	1.0	ProfTask <26>						25715
1	1	52885.662	52885.662	52886.161	#FFC0CB	1.0	ProfTask <27>						25717
1	1	52902.986	52902.986	52903.482	#FFC0CB	1.0	ProfTask <28>						25719
1	1	52919.104	52919.104	52923.003	#FFC0CB	1.0	ProfTask <29>						25721
1	1	52935.952	52935.952	52936.451	#FFC0CB	1.0	ProfTask <30>						25723
1	1	52954.824	52954.824	52955.326	#FFC0CB	1.0	ProfTask <31>						25725
1	1	52972.187	52972.187	52972.732	#FFC0CB	1.0	ProfTask <32>						25727
